model,tau,family_balanced_accuracy
hgb,0.0,0.7153333333333333
hgb,0.3,0.714675925925926
hgb,0.5,0.7172407407407407
hgb,0.7,0.7158287037037037
hgb,0.9,0.7026990740740742
nn,0.0,0.7161666666666666
nn,0.3,0.715138888888889
nn,0.5,0.7125925925925927
nn,0.7,0.7098657407407407
nn,0.9,0.6999953703703702
perslay_z_rips,0.0,0.7082083333333332
perslay_z_rips,0.3,0.702787037037037
perslay_z_rips,0.5,0.6881342592592593
perslay_z_rips,0.7,0.6770787037037037
perslay_z_rips,0.9,0.6792777777777778
perslay_z_alpha_diameter,0.0,0.7055509259259259
perslay_z_alpha_diameter,0.3,0.6928981481481481
perslay_z_alpha_diameter,0.5,0.6928935185185184
perslay_z_alpha_diameter,0.7,0.6854351851851852
perslay_z_alpha_diameter,0.9,0.6734675925925926
perslay_z_dtm_k5,0.0,0.7072731481481481
perslay_z_dtm_k5,0.3,0.7067592592592592
perslay_z_dtm_k5,0.5,0.6968842592592592
perslay_z_dtm_k5,0.7,0.6870972222222221
perslay_z_dtm_k5,0.9,0.6821805555555556
perslay_z_dtm_k10,0.0,0.7090833333333333
perslay_z_dtm_k10,0.3,0.7025092592592593
perslay_z_dtm_k10,0.5,0.7062083333333334
perslay_z_dtm_k10,0.7,0.6914814814814815
perslay_z_dtm_k10,0.9,0.6765972222222223
perslay_z_dtm_k15,0.0,0.7108148148148148
perslay_z_dtm_k15,0.3,0.7083935185185185
perslay_z_dtm_k15,0.5,0.7030138888888888
perslay_z_dtm_k15,0.7,0.6924814814814816
perslay_z_dtm_k15,0.9,0.6838935185185184
perslay_z_dtm_k20,0.0,0.710699074074074
perslay_z_dtm_k20,0.3,0.7078981481481481
perslay_z_dtm_k20,0.5,0.6982222222222221
perslay_z_dtm_k20,0.7,0.6959305555555555
perslay_z_dtm_k20,0.9,0.6889907407407407
