model,tau,family,n,filtered,unfiltered,gain
hgb,0.0,thomas,4179,0.5992192576748954,0.5992192576748954,0.0
hgb,0.0,nested,14386,0.5710816001824326,0.5710816001824326,0.0
hgb,0.0,matern2,21175,0.12863607966846588,0.12863607966846588,0.0
hgb,0.0,lgcp,12530,0.3837511318207933,0.3837511318207933,0.0
hgb,0.3,thomas,6793,0.6166416852568032,0.6041466549139277,-0.012495030342875468
hgb,0.3,nested,11095,0.535277385850757,0.5359476631093198,0.0006702772585628347
hgb,0.3,matern2,20980,0.12824186329093729,0.12758545788333095,-0.0006564054076063364
hgb,0.3,lgcp,12102,0.3859623674445925,0.3797054403454337,-0.0062569270991588155
hgb,0.5,thomas,6738,0.5922034163032164,0.5755450237779041,-0.016658392525312316
hgb,0.5,nested,10578,0.5320917775116474,0.5329786565409089,0.0008868790292615447
hgb,0.5,matern2,20670,0.12836828861349026,0.12612437125808953,-0.002243917355400721
hgb,0.5,lgcp,11773,0.38737068700090455,0.37445270531109626,-0.012917981689808289
hgb,0.7,thomas,6104,0.5538239588704217,0.5366092891190307,-0.017214669751390965
hgb,0.7,nested,10402,0.5351562590312657,0.5348863805810984,-0.000269878450167349
hgb,0.7,matern2,20153,0.12766666143642652,0.12444751371986501,-0.00321914771656151
hgb,0.7,lgcp,11207,0.38051524383963176,0.363169270793299,-0.01734597304633273
hgb,0.9,thomas,5576,0.5118808756845098,0.4974428659397949,-0.014438009744714875
hgb,0.9,nested,9753,0.5305776344496091,0.528967475548179,-0.0016101589014301254
hgb,0.9,matern2,19182,0.12707382103611045,0.12336392325465698,-0.003709897781453475
hgb,0.9,lgcp,9452,0.3446843829937625,0.3278130151407703,-0.016871367852992147
nn,0.0,thomas,4047,0.6159635341974957,0.6159635341974957,0.0
nn,0.0,nested,14182,0.5414002177806042,0.5414002177806042,0.0
nn,0.0,matern2,21013,0.12341316949120473,0.12341316949120473,0.0
nn,0.0,lgcp,12662,0.3876186982701475,0.3876186982701475,0.0
nn,0.3,thomas,7135,0.609452953820559,0.6011410189299647,-0.00831193489059423
nn,0.3,nested,10053,0.49408254842952726,0.49154469339651585,-0.0025378550330114047
nn,0.3,matern2,20689,0.12393966724420034,0.12125186082774099,-0.002687806416459354
nn,0.3,lgcp,12662,0.3875275806879544,0.38313809676340843,-0.004389483924545967
nn,0.5,thomas,8037,0.6085968730735747,0.5839808292010288,-0.0246160438725459
nn,0.5,nested,8356,0.47982555786094405,0.48244164400366457,0.0026160861427205195
nn,0.5,matern2,20266,0.12866049611620964,0.11950554021084625,-0.009154955905363388
nn,0.5,lgcp,12103,0.3931892959987602,0.37857970164985666,-0.01460959434890352
nn,0.7,thomas,7548,0.54677925348318,0.528890569094652,-0.017888684388527976
nn,0.7,nested,7611,0.48401580634382196,0.478140719442958,-0.005875086900863968
nn,0.7,matern2,19655,0.1279805865536876,0.11677631334460191,-0.011204273209085694
nn,0.7,lgcp,11308,0.37268453813831787,0.3590915316712213,-0.013593006467096547
nn,0.9,thomas,6997,0.49869737678864173,0.48143067549930785,-0.017266701289333886
nn,0.9,nested,7691,0.49162479000780895,0.48783458485376546,-0.003790205154043491
nn,0.9,matern2,19115,0.18210828841642696,0.11843820865852182,-0.06367007975790513
nn,0.9,lgcp,9830,0.3676537741388321,0.3407150375339662,-0.0269387366048659
perslay_z_rips,0.0,thomas,3960,0.6440889441164569,0.6440889441164569,0.0
perslay_z_rips,0.0,nested,12705,0.5997699846078482,0.5997699846078482,0.0
perslay_z_rips,0.0,matern2,20502,0.16176354708644503,0.16176354708644503,0.0
perslay_z_rips,0.0,lgcp,11943,0.4235905289566911,0.4235905289566911,0.0
perslay_z_rips,0.3,thomas,6103,0.6690196085395691,0.6668479170586769,-0.002171691480892246
perslay_z_rips,0.3,nested,9709,0.5423712359167308,0.5467816094902146,0.004410373573483839
perslay_z_rips,0.3,matern2,19687,0.16377680173882317,0.15678622277682056,-0.006990578962002614
perslay_z_rips,0.3,lgcp,11082,0.41491855782748166,0.4168196440139469,0.0019010861864652284
perslay_z_rips,0.5,thomas,7999,0.638809514117134,0.6258409084643901,-0.012968605652743936
perslay_z_rips,0.5,nested,6526,0.5302295725454135,0.5324480595789144,0.0022184870335009155
perslay_z_rips,0.5,matern2,18656,0.15451817200842966,0.15264180374519654,-0.0018763682632331191
perslay_z_rips,0.5,lgcp,10248,0.4191674183147005,0.4129449354514796,-0.006222482863220913
perslay_z_rips,0.7,thomas,7655,0.614138784448563,0.6089914483141691,-0.005147336134393887
perslay_z_rips,0.7,nested,6196,0.5406376857961774,0.5436105008177117,0.0029728150215342364
perslay_z_rips,0.7,matern2,17718,0.14493372018585526,0.14611519391213834,0.0011814737262830777
perslay_z_rips,0.7,lgcp,9785,0.4089191590342569,0.3977734221807092,-0.011145736853547694
perslay_z_rips,0.9,thomas,6202,0.6080495990996634,0.5981734961986268,-0.009876102901036576
perslay_z_rips,0.9,nested,7662,0.5363218916533022,0.5386356744047545,0.0023137827514522202
perslay_z_rips,0.9,matern2,17946,0.14356171446165578,0.14786987799739698,0.004308163535741205
perslay_z_rips,0.9,lgcp,8702,0.4025692689784188,0.38555638058367064,-0.017012888394748182
perslay_z_alpha_diameter,0.0,thomas,4134,0.624468854251612,0.624468854251612,0.0
perslay_z_alpha_diameter,0.0,nested,12136,0.5829631932914153,0.5829631932914153,0.0
perslay_z_alpha_diameter,0.0,matern2,20172,0.16186800652098454,0.16186800652098454,0.0
perslay_z_alpha_diameter,0.0,lgcp,12517,0.41566923958043267,0.41566923958043267,0.0
perslay_z_alpha_diameter,0.3,thomas,8038,0.6210326911675007,0.6144020625758397,-0.00663062859166097
perslay_z_alpha_diameter,0.3,nested,6081,0.5132616542153093,0.5137074875608034,0.0004458333454940844
perslay_z_alpha_diameter,0.3,matern2,19214,0.15865101006868715,0.15544971768412252,-0.0032012923845646246
perslay_z_alpha_diameter,0.3,lgcp,11578,0.4148355708463242,0.40906023165375044,-0.005775339192573781
perslay_z_alpha_diameter,0.5,thomas,7932,0.6146767663211438,0.6055913517067709,-0.009085414614372844
perslay_z_alpha_diameter,0.5,nested,6458,0.5207348031735322,0.520424489370951,-0.0003103138025811747
perslay_z_alpha_diameter,0.5,matern2,18923,0.1561266638714865,0.15534212743851664,-0.0007845364329698568
perslay_z_alpha_diameter,0.5,lgcp,10925,0.40979914909249776,0.3993097522873299,-0.010489396805167861
perslay_z_alpha_diameter,0.7,thomas,7584,0.605148895493726,0.596370046472712,-0.008778849021014001
perslay_z_alpha_diameter,0.7,nested,5859,0.5233231551786488,0.5217762190069866,-0.0015469361716622387
perslay_z_alpha_diameter,0.7,matern2,18339,0.14868866957575524,0.1507990545960458,0.002110385020290567
perslay_z_alpha_diameter,0.7,lgcp,10198,0.41292824253220717,0.3884729510278224,-0.024455291504384746
perslay_z_alpha_diameter,0.9,thomas,6993,0.5918455956253292,0.5733491526684754,-0.01849644295685382
perslay_z_alpha_diameter,0.9,nested,6059,0.5117437682393777,0.515958711708344,0.004214943468966226
perslay_z_alpha_diameter,0.9,matern2,17603,0.1431740143381807,0.1474795093111531,0.004305494972972418
perslay_z_alpha_diameter,0.9,lgcp,9207,0.397650381871401,0.36423732923345575,-0.03341305263794525
perslay_z_dtm_k5,0.0,thomas,2914,0.6492990035924429,0.6492990035924429,0.0
perslay_z_dtm_k5,0.0,nested,14906,0.585054236187372,0.585054236187372,0.0
perslay_z_dtm_k5,0.0,matern2,20060,0.1755499514598793,0.1755499514598793,0.0
