set,family,cell_id,level_id,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,target_delta,delta_tilde,feasible,why,reps
B,thomas,0,,125.0,0.25188196977646427,0.2,,,,,,,,,0.5,0.4999999999999999,1,,400
B,thomas,1,,125.0,0.534508333584208,0.2,,,,,,,,,1.0,0.9999999999999999,1,,400
B,thomas,2,,125.0,1.1897081876586393,0.2,,,,,,,,,2.0,2.0,1,,400
B,thomas,3,,125.0,2.825416522716492,0.2,,,,,,,,,4.0,3.9999999999999987,1,,400
B,thomas,4,,125.0,7.3589836548479095,0.2,,,,,,,,,8.0,8.000000000000002,1,,400
B,thomas,5,,125.0,0.5578364361932212,0.45,,,,,,,,,0.5,0.5,1,,400
B,thomas,6,,125.0,1.1486185119365304,0.45,,,,,,,,,1.0,1.0,1,,400
B,thomas,7,,125.0,2.4251012954708617,0.45,,,,,,,,,2.0,2.0,1,,400
B,thomas,8,,125.0,5.3269224440939515,0.45,,,,,,,,,4.0,4.000000000000002,1,,400
B,thomas,9,,125.0,12.540373673143472,0.45,,,,,,,,,8.0,7.999999999999999,1,,400
B,thomas,10,,125.0,1.316651907396855,1.0,,,,,,,,,0.5,0.4999999999999999,1,,400
B,thomas,11,,125.0,2.6744440373344767,1.0,,,,,,,,,1.0,0.9999999999999999,1,,400
B,thomas,12,,125.0,5.513447955477325,1.0,,,,,,,,,2.0,2.0000000000000004,1,,400
B,thomas,13,,125.0,11.685129044367104,1.0,,,,,,,,,4.0,4.000000000000002,1,,400
B,thomas,14,,125.0,26.0015943045066,1.0,,,,,,,,,8.0,7.999999999999999,0,constraint,400
B,thomas,15,,250.0,0.16302295490515017,0.2,,,,,,,,,0.5,0.4999999999999999,0,mu outside interior,400
B,thomas,16,,250.0,0.33904035989374315,0.2,,,,,,,,,1.0,1.0000000000000002,1,,400
B,thomas,17,,250.0,0.7295895411742478,0.2,,,,,,,,,2.0,1.9999999999999996,1,,400
B,thomas,18,,250.0,1.6624134971875664,0.2,,,,,,,,,4.0,4.0,1,,400
B,thomas,19,,250.0,4.098388962035878,0.2,,,,,,,,,8.0,8.0,1,,400
B,thomas,20,,250.0,0.3649123945611708,0.45,,,,,,,,,0.5,0.5,1,,400
B,thomas,21,,250.0,0.7437301259665325,0.45,,,,,,,,,1.0,1.0,1,,400
B,thomas,22,,250.0,1.5429828570920032,0.45,,,,,,,,,2.0,1.9999999999999996,1,,400
B,thomas,23,,250.0,3.3077960917046916,0.45,,,,,,,,,4.0,3.9999999999999996,1,,400
B,thomas,24,,250.0,7.486237135282521,0.45,,,,,,,,,8.0,8.0,1,,400
B,thomas,25,,250.0,0.863353754266109,1.0,,,,,,,,,0.5,0.5000000000000001,1,,400
B,thomas,26,,250.0,1.7444960102209555,1.0,,,,,,,,,1.0,0.9999999999999999,1,,400
B,thomas,27,,250.0,3.5596794664925735,1.0,,,,,,,,,2.0,1.9999999999999996,1,,400
B,thomas,28,,250.0,7.401033023229851,1.0,,,,,,,,,4.0,3.999999999999999,1,,400
B,thomas,29,,250.0,15.910838117401834,1.0,,,,,,,,,8.0,7.999999999999997,1,,400
B,thomas,30,,500.0,0.11191732473077648,0.2,,,,,,,,,0.5,0.49999999999999994,0,mu outside interior,400
B,thomas,31,,500.0,0.23047171758406243,0.2,,,,,,,,,1.0,0.9999999999999998,1,,400
B,thomas,32,,500.0,0.4870181782207561,0.2,,,,,,,,,2.0,2.0,1,,400
B,thomas,33,,500.0,1.0772389490309358,0.2,,,,,,,,,4.0,4.0,1,,400
B,thomas,34,,500.0,2.520223039816149,0.2,,,,,,,,,8.0,7.999999999999999,1,,400
B,thomas,35,,500.0,0.25330378868861453,0.45,,,,,,,,,0.5,0.49999999999999994,1,,400
B,thomas,36,,500.0,0.5135661393936054,0.45,,,,,,,,,1.0,0.9999999999999997,1,,400
B,thomas,37,,500.0,1.0548822289818651,0.45,,,,,,,,,2.0,1.9999999999999996,1,,400
B,thomas,38,,500.0,2.219919058852123,0.45,,,,,,,,,4.0,3.9999999999999982,1,,400
B,thomas,39,,500.0,4.866296760885454,0.45,,,,,,,,,8.0,7.999999999999999,1,,400
B,thomas,40,,500.0,0.5931466954742587,1.0,,,,,,,,,0.5,0.5,1,,400
B,thomas,41,,500.0,1.1947208720250222,1.0,,,,,,,,,1.0,1.0000000000000002,1,,400
B,thomas,42,,500.0,2.4231513623004917,1.0,,,,,,,,,2.0,2.000000000000001,1,,400
B,thomas,43,,500.0,4.978335386817703,1.0,,,,,,,,,4.0,3.9999999999999996,1,,400
B,thomas,44,,500.0,10.47208692471164,1.0,,,,,,,,,8.0,8.0,1,,400
B,nested,0,,250.0,,,3,0.0723385373408943,0.1,6,,,,,0.5,0.5,1,,400
B,nested,1,,250.0,,,3,0.15395809688852669,0.1,6,,,,,1.0,1.0,1,,400
B,nested,2,,250.0,,,3,0.34473095552540384,0.1,6,,,,,2.0,1.9999999999999996,1,,400
B,nested,3,,250.0,,,3,0.8359688844946143,0.1,6,,,,,4.0,4.0,1,,400
B,nested,4,,250.0,,,3,2.16377685122187,0.1,6,,,,,8.0,8.000000000000002,1,,400
B,nested,5,,250.0,,,3,0.17613233736751593,0.25,6,,,,,0.5,0.5000000000000003,1,,400
B,nested,6,,250.0,,,3,0.36281402244997896,0.25,6,,,,,1.0,1.0000000000000004,1,,400
B,nested,7,,250.0,,,3,0.7677244956865471,0.25,6,,,,,2.0,1.9999999999999998,1,,400
B,nested,8,,250.0,,,3,1.7003013048067945,0.25,6,,,,,4.0,4.0,1,,400
B,nested,9,,250.0,,,3,4.038576802552554,0.25,6,,,,,8.0,7.999999999999998,1,,400
B,nested,10,,500.0,,,3,0.05033358479836631,0.1,6,,,,,0.5,0.4999999999999998,0,mu2 outside interior,400
B,nested,11,,500.0,,,3,0.10546391329736488,0.1,6,,,,,1.0,1.0000000000000004,1,,400
B,nested,12,,500.0,,,3,0.23009784243116704,0.1,6,,,,,2.0,2.0,1,,400
