case_id,family,stratum,nbar_band,theta_id,is_null,source_set,cell_id,level_id,index,nbar,n,delta_tilde,scale,amplitude
dv3-A-lgcp-000012,lgcp,below,"[100,200)",prior:lgcp:i12,0,prior,-1,-1,12,141.01086999644326,137,0.5722049493299589,0.6686206022645635,0.3198559555697136
dv3-A-lgcp-000039,lgcp,below,"[200,400)",prior:lgcp:i39,0,prior,-1,-1,39,277.4479039425347,330,0.9968289150469614,1.7794128728428136,0.15814261618290912
dv3-A-lgcp-000041,lgcp,below,"[200,400)",prior:lgcp:i41,0,prior,-1,-1,41,334.18906205602576,338,0.8513692363377647,1.2224319865881903,0.1682365303204228
dv3-A-lgcp-000044,lgcp,below,"[200,400)",prior:lgcp:i44,0,prior,-1,-1,44,350.6973002115774,360,0.6022244906827945,0.6016426763343319,0.22360212432611892
dv3-A-lgcp-000045,lgcp,below,"[200,400)",prior:lgcp:i45,0,prior,-1,-1,45,222.30898528729003,232,0.349600859082467,0.7103189143403073,0.14122468885415151
dv3-A-lgcp-000064,lgcp,below,"[400,800)",prior:lgcp:i64,0,prior,-1,-1,64,749.0420994747085,733,0.49295805745846444,0.8562783674998505,0.08858874440236157
dv3-A-lgcp-000069,lgcp,below,"[400,800)",prior:lgcp:i69,0,prior,-1,-1,69,681.2250335726691,688,0.5574078972208982,0.6372993519329382,0.13792564081170347
dv3-A-lgcp-000083,lgcp,below,"[400,800)",prior:lgcp:i83,0,prior,-1,-1,83,620.5738340369113,593,0.33192460062823764,0.669349120182005,0.08316688185088972
dv3-A-lgcp-000087,lgcp,below,"[400,800)",prior:lgcp:i87,0,prior,-1,-1,87,537.8066558799687,552,0.4003575469311111,0.5092315775910641,0.1399529345666391
dv3-A-lgcp-000105,lgcp,below,"[400,800)",prior:lgcp:i105,0,prior,-1,-1,105,430.29477037202497,467,0.3313684986030438,0.7834275490225867,0.08799569118347784
dv3-A-lgcp-000113,lgcp,below,"[400,800)",prior:lgcp:i113,0,prior,-1,-1,113,475.01495490479283,485,0.6235977474981709,0.7969647059090902,0.1519764368420753
dv3-A-lgcp-000121,lgcp,below,"[100,200)",prior:lgcp:i121,0,prior,-1,-1,121,101.374326026759,104,0.6639124501704412,0.5281715264334417,0.5323982971939627
dv3-A-lgcp-000125,lgcp,below,"[200,400)",prior:lgcp:i125,0,prior,-1,-1,125,396.8816731637872,380,0.19054337754208112,0.792270592323636,0.05229828959807573
dv3-A-lgcp-000131,lgcp,below,"[400,800)",prior:lgcp:i131,0,prior,-1,-1,131,450.5265300875215,426,0.6762396982203526,1.8582132120062425,0.08116771512897322
dv3-A-lgcp-000137,lgcp,below,"[100,200)",prior:lgcp:i137,0,prior,-1,-1,137,112.72001265558377,100,0.4147034300874093,1.265461799706071,0.1481868525003795
dv3-A-lgcp-000143,lgcp,below,"[200,400)",prior:lgcp:i143,0,prior,-1,-1,143,350.9617370867627,364,0.2339184936416378,0.6500344243265905,0.08210650143540175
dv3-A-lgcp-000148,lgcp,below,"[200,400)",prior:lgcp:i148,0,prior,-1,-1,148,276.6484848417657,255,0.4941646747262324,1.567715587320717,0.08794901903210334
dv3-A-lgcp-000149,lgcp,below,"[100,200)",prior:lgcp:i149,0,prior,-1,-1,149,182.0587524690231,164,0.8170484650934784,0.6142492090352235,0.4120703687685504
dv3-A-lgcp-000162,lgcp,below,"[100,200)",prior:lgcp:i162,0,prior,-1,-1,162,187.08864422857258,197,0.8360768075757621,1.050917067440701,0.2558849334628291
dv3-A-lgcp-000167,lgcp,below,"[200,400)",prior:lgcp:i167,0,prior,-1,-1,167,277.87241924061357,297,0.5505457227716599,0.518761147128743,0.26370523639637816
dv3-A-lgcp-000177,lgcp,below,"[200,400)",prior:lgcp:i177,0,prior,-1,-1,177,205.58799944462663,195,0.6211444164884741,1.9317441704902394,0.110313625947223
dv3-A-lgcp-000183,lgcp,below,"[200,400)",prior:lgcp:i183,0,prior,-1,-1,183,206.2009021529426,206,0.24009381638027077,0.5084699710745398,0.140542569357535
dv3-A-lgcp-000188,lgcp,below,"[400,800)",prior:lgcp:i188,0,prior,-1,-1,188,523.7879013621514,540,0.3512875819443881,0.8268229763628099,0.07857461407204014
dv3-A-lgcp-000194,lgcp,below,"[400,800)",prior:lgcp:i194,0,prior,-1,-1,194,585.5157790905504,599,0.6109325242239342,0.9013880854507187,0.11840075235660058
dv3-A-lgcp-000196,lgcp,below,"[400,800)",prior:lgcp:i196,0,prior,-1,-1,196,709.2078049437753,732,0.849098166842224,0.89445647007275,0.14986835194567688
dv3-A-lgcp-000208,lgcp,below,"[200,400)",prior:lgcp:i208,0,prior,-1,-1,208,235.93535276820657,265,0.9601140819867886,1.3901208852644253,0.20298999017040367
dv3-A-lgcp-000235,lgcp,below,"[100,200)",prior:lgcp:i235,0,prior,-1,-1,235,167.76456182510967,167,0.09863035755332497,0.5353630861988647,0.06237016703524545
dv3-A-lgcp-000240,lgcp,below,"[400,800)",prior:lgcp:i240,0,prior,-1,-1,240,518.9862205386937,528,0.7455049550059801,1.2704464103910218,0.11367078539124414
dv3-A-lgcp-000254,lgcp,below,"[400,800)",prior:lgcp:i254,0,prior,-1,-1,254,678.2981262652527,713,0.3377563973558542,0.5154309797077058,0.10324926367188265
dv3-A-lgcp-000255,lgcp,below,"[200,400)",prior:lgcp:i255,0,prior,-1,-1,255,219.40730636118593,216,0.9234449372468737,0.6618360212100443,0.39173804723309186
dv3-A-lgcp-000260,lgcp,below,"[400,800)",prior:lgcp:i260,0,prior,-1,-1,260,452.3486216080591,447,0.5532444190822247,0.5280585791131736,0.2040746779258542
dv3-A-lgcp-000270,lgcp,below,"[400,800)",prior:lgcp:i270,0,prior,-1,-1,270,533.9535155790613,515,0.17246515617125324,0.5065932821781106,0.0614211952264288
dv3-A-lgcp-000281,lgcp,below,"[100,200)",prior:lgcp:i281,0,prior,-1,-1,281,155.9741074293883,168,0.5552630054367064,1.176992448514575,0.17818840775133596
dv3-A-lgcp-000287,lgcp,below,"[200,400)",prior:lgcp:i287,0,prior,-1,-1,287,233.16006085640967,247,0.21512106531924113,0.6920377585140471,0.08744400948204749
dv3-A-lgcp-000301,lgcp,below,"[400,800)",prior:lgcp:i301,0,prior,-1,-1,301,437.5682744399755,415,0.2025197772218072,0.7692917303588076,0.05451306243737195
dv3-A-lgcp-000305,lgcp,below,"[200,400)",prior:lgcp:i305,0,prior,-1,-1,305,230.83615641279272,208,0.2709122499696808,1.2236875698009484,0.06559800438777834
dv3-A-lgcp-000308,lgcp,below,"[200,400)",prior:lgcp:i308,0,prior,-1,-1,308,271.505511875798,260,0.6171377149601319,0.6792530874117155,0.2304108059015364
