case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-A-matern2-000000,3,A,matern2,0,,,,3:1:3:0,,test,0,598.3095432198571,,,,,,,0.05940269599876528,,,,,,,601.6505909109416,0.002428528424071863,,,,,0.1403678585761648,0.04197183648723586,,1,617,1,exact,0.002428528424071863,623,,,,,,0.0003942080002161674,5acd70a7918717b426379302975549ab13052ac5
dv3-A-matern2-000001,3,A,matern2,1,,,,3:1:3:1,,test,0,293.662289849706,,,,,,,0.2338372182825252,,,,,,,322.2056517229498,0.013645502884733964,,,,,3.1006132064902676,0.1632650473455932,,1,299,1,exact,0.013645502884733964,347,,,,,,0.0001287500017497223,aac79199474fda93d26426ac40bd6c5c22bb02c0
dv3-A-matern2-000002,3,A,matern2,2,,,,3:1:3:2,,test,0,132.6816286647789,,,,,,,0.12871026388072723,,,,,,,136.2589897528449,0.011173977274894716,,,,,0.9376821438257046,0.09067950717843523,,1,126,1,exact,0.011173977274894716,137,,,,,,7.02500001352746e-05,1d5ba1d87217d7d9ef70af9141537369ba768e55
dv3-A-matern2-000003,3,A,matern2,3,,,,3:1:3:3,,test,0,127.24867715484845,,,,,,,0.5107344254363264,,,,,,,265.827387085311,0.045276046139773415,,,,,4.2405909069566965,0.3306157255655714,,1,127,1,exact,0.045276046139773415,303,,,,,,0.00010916700193774886,bf9fe008f15963588b414c3bd854419457677dfa
dv3-A-matern2-000004,3,A,matern2,4,,,,3:1:3:4,,test,0,319.56247040404617,,,,,,,0.05162114389222371,,,,,,,320.90759712376564,0.002887684482345093,,,,,0.10480575721476068,0.03648054130635554,,1,325,1,exact,0.002887684482345093,328,,,,,,0.00010087500049849041,1eb558c4733c7970f451adbf078cb35b8dba68ac
dv3-A-matern2-000005,3,A,matern2,5,,,,3:1:3:5,,test,0,543.4445463114992,,,,,,,0.47323012311238694,,,,,,,939.1814172791888,0.020299940460502052,,,,,8.737364182284326,0.3122652015782966,,1,544,1,exact,0.020299940460502052,1002,,,,,,0.00029216699840617366,2cde0aeb398442d1d63caefe7ecb9e5ef99d841e
dv3-A-matern2-000006,3,A,matern2,6,,,,3:1:3:6,,test,0,255.08204801419058,,,,,,,0.08379787484756854,,,,,,,257.9377471640631,0.00524678245069703,,,,,0.2907029699757056,0.05916327302057654,,1,261,1,exact,0.00524678245069703,263,,,,,,7.891599670983851e-05,efbe132fd66498eff247624857e503fb7e84f9f5
dv3-A-matern2-000007,3,A,matern2,7,,,,3:1:3:7,,test,0,183.73552904033315,,,,,,,0.08334947684763094,,,,,,,185.7702085172369,0.006149025671500126,,,,,0.2746592981131528,0.05884766441961265,,1,192,1,exact,0.006149025671500126,198,,,,,,6.75409974064678e-05,aa3d23b71b954dedc0bfbcffca0e43789a14c22e
dv3-A-matern2-000008,3,A,matern2,8,,,,3:1:3:8,,test,0,474.4024259167313,,,,,,,0.37982856754557115,,,,,,,631.933379064823,0.017438702751993343,,,,,6.5347083306204725,0.25851311331729476,,1,474,1,exact,0.017438702751993343,649,,,,,,0.00017333399955532514,f89d1cde258e47b892515c477032b2476aa24b74
dv3-A-matern2-000009,3,A,matern2,9,,,,3:1:3:9,,test,0,339.419780241734,,,,,,,0.30286836288872004,,,,,,,400.3703412277103,0.01643937627831851,,,,,4.349315467498619,0.20941960295382178,,1,331,1,exact,0.01643937627831851,417,,,,,,0.00011566700050025247,1a0c6b17a2d6d0c1952b335f235b05b04e7359c6
