case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-A-poisson-000000,3,A,poisson,0,,,,3:1:0:0,,test,0,462.4854426923281,,,,,,,,,,,,,,,,,,,,0.0,,,1,459,1,exact,,,,,,,,0.00038329199742292985,e5cea53d9aaee541aa4777179a2fe19c679b0f63
dv3-A-poisson-000001,3,A,poisson,1,,,,3:1:0:1,,test,0,513.923424748457,,,,,,,,,,,,,,,,,,,,0.0,,,1,492,1,exact,,,,,,,,2.5875000574160367e-05,376e7d3418eba2d6e9b2e5ce28740ab9debe59d7
dv3-A-poisson-000002,3,A,poisson,2,,,,3:1:0:2,,test,0,358.06971191630817,,,,,,,,,,,,,,,,,,,,0.0,,,1,374,1,exact,,,,,,,,1.854200309026055e-05,f4f0cde078b02aefb8c4f3240a5bd75d956f7500
dv3-A-poisson-000003,3,A,poisson,3,,,,3:1:0:3,,test,0,200.10719373943488,,,,,,,,,,,,,,,,,,,,0.0,,,1,208,1,exact,,,,,,,,1.7583002772880718e-05,049157185175897fe94fc70fca9149bdb71422a9
dv3-A-poisson-000004,3,A,poisson,4,,,,3:1:0:4,,test,0,305.6421847291413,,,,,,,,,,,,,,,,,,,,0.0,,,1,336,1,exact,,,,,,,,1.5042001905385405e-05,ab9972ee9a16fef13ef28dc4e152bf0a241cecee
dv3-A-poisson-000005,3,A,poisson,5,,,,3:1:0:5,,test,0,181.10732588877573,,,,,,,,,,,,,,,,,,,,0.0,,,1,190,1,exact,,,,,,,,1.3208999007474631e-05,0e835d118e8107a49aa10075572d9a3cd592f4b7
dv3-A-poisson-000006,3,A,poisson,6,,,,3:1:0:6,,test,0,462.92806738437145,,,,,,,,,,,,,,,,,,,,0.0,,,1,467,1,exact,,,,,,,,1.6167003195732832e-05,29435b36fa9317db19272fbcf362ae167e835b66
dv3-A-poisson-000007,3,A,poisson,7,,,,3:1:0:7,,test,0,681.1634807518519,,,,,,,,,,,,,,,,,,,,0.0,,,1,647,1,exact,,,,,,,,1.7750000552041456e-05,48893c71fd39204394acb9f8a13e7efb86ba2b07
dv3-A-poisson-000008,3,A,poisson,8,,,,3:1:0:8,,test,0,514.6505373831926,,,,,,,,,,,,,,,,,,,,0.0,,,1,500,1,exact,,,,,,,,1.5792000340297818e-05,fa4ef647b90d30bb3f510db8a2b0407467cde6f2
dv3-A-poisson-000009,3,A,poisson,9,,,,3:1:0:9,,test,0,248.84671742738774,,,,,,,,,,,,,,,,,,,,0.0,,,1,235,1,exact,,,,,,,,1.3541997759602964e-05,19e29b5a0a907ac710399f7a3f2aa41fec68f6c3
dv3-A-poisson-000010,3,A,poisson,10,,,,3:1:0:10,,test,0,384.0515644767631,,,,,,,,,,,,,,,,,,,,0.0,,,1,336,1,exact,,,,,,,,1.5083001926541328e-05,83523c32f28bbb99b38b27569a528d17f63203f0
dv3-A-poisson-000011,3,A,poisson,11,,,,3:1:0:11,,test,0,425.68334116928963,,,,,,,,,,,,,,,,,,,,0.0,,,1,382,1,exact,,,,,,,,1.8999999156221747e-05,6ee697e8467c5180787d9fc7f433800008975670
dv3-A-poisson-000012,3,A,poisson,12,,,,3:1:0:12,,test,0,418.3717703975895,,,,,,,,,,,,,,,,,,,,0.0,,,1,402,1,exact,,,,,,,,1.5541998436674476e-05,72fd766c0adebeffb882b096608e0c9eca2b8047
dv3-A-poisson-000013,3,A,poisson,13,,,,3:1:0:13,,test,0,127.43527092958087,,,,,,,,,,,,,,,,,,,,0.0,,,1,126,1,exact,,,,,,,,1.1707998055499047e-05,c03d92485121661e6987e7cec41e863508d6db0b
dv3-A-poisson-000014,3,A,poisson,14,,,,3:1:0:14,,test,0,174.12418559407246,,,,,,,,,,,,,,,,,,,,0.0,,,1,163,1,exact,,,,,,,,1.2249998690094799e-05,421513527a7d56eee67cc556306cf5e3e986013d
dv3-A-poisson-000015,3,A,poisson,15,,,,3:1:0:15,,test,0,227.27002768098438,,,,,,,,,,,,,,,,,,,,0.0,,,1,233,1,exact,,,,,,,,1.3458000466926023e-05,351687d42912653bd838106da780a781ed99e0a4
dv3-A-poisson-000016,3,A,poisson,16,,,,3:1:0:16,,test,0,534.5701195186282,,,,,,,,,,,,,,,,,,,,0.0,,,1,499,1,exact,,,,,,,,1.716599945211783e-05,174e7961aa6b3cddb61bc3ffc7684f3228bd78c3
dv3-A-poisson-000017,3,A,poisson,17,,,,3:1:0:17,,test,0,156.7407975662739,,,,,,,,,,,,,,,,,,,,0.0,,,1,161,1,exact,,,,,,,,1.2290998711250722e-05,ef682f70e46f03c3d686cbdb7fe572e2e58b04e9
dv3-A-poisson-000018,3,A,poisson,18,,,,3:1:0:18,,test,0,739.2188275146357,,,,,,,,,,,,,,,,,,,,0.0,,,1,761,1,exact,,,,,,,,2.0040999515913427e-05,2635724d227fccd462a31024cef566812dcf8e8d
dv3-A-poisson-000019,3,A,poisson,19,,,,3:1:0:19,,test,0,106.14170444458968,,,,,,,,,,,,,,,,,,,,0.0,,,1,98,1,exact,,,,,,,,1.1208001524209976e-05,b92bd0198082a07e34bae43ad97079386719abf4
dv3-A-poisson-000020,3,A,poisson,20,,,,3:1:0:20,,test,0,167.37664815630666,,,,,,,,,,,,,,,,,,,,0.0,,,1,156,1,exact,,,,,,,,1.1916999937966466e-05,a633468e0068f40947ef24f0e6fae615633fda9e
