case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-B-lgcp-000000,3,B,lgcp,0,0,,0,3:2:5:0,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,132,1,exact,,,2,2.5672005760922983e-05,,,,0.012154667001595953,8ba48efbc32a77aa67d802e4e1e8a4631e106d25
dv3-B-lgcp-000001,3,B,lgcp,1,0,,1,3:2:5:1,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,111,1,exact,,,2,2.5672005760922983e-05,,,,0.011796916998719098,111a0416c9830b68e7df3429fac9a6d63e371826
dv3-B-lgcp-000002,3,B,lgcp,2,0,,2,3:2:5:2,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,155,1,exact,,,2,2.5672005760922983e-05,,,,0.014369374999660067,f36da0b535b74d973f0a2f5fe6f6a1e99aa24697
dv3-B-lgcp-000003,3,B,lgcp,3,0,,3,3:2:5:3,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,141,1,exact,,,2,2.5672005760922983e-05,,,,0.013091292003082344,cc0f1307c3bbfc7926f61d7a84c8da5dde9b6faa
dv3-B-lgcp-000004,3,B,lgcp,4,0,,4,3:2:5:4,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,139,1,exact,,,2,2.5672005760922983e-05,,,,0.014014083000802202,e62152a49f17f0fcf8b6f84f1ac7a4844d833de9
dv3-B-lgcp-000005,3,B,lgcp,5,0,,5,3:2:5:5,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,101,1,exact,,,2,2.5672005760922983e-05,,,,0.015282458000001498,7c3c962844f4008cc39333b17c8acfb83274077d
dv3-B-lgcp-000006,3,B,lgcp,6,0,,6,3:2:5:6,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,115,1,exact,,,2,2.5672005760922983e-05,,,,0.013228750001871958,63115557e92e9a6fce0ef253d9a71b9ad53a7d2a
dv3-B-lgcp-000007,3,B,lgcp,7,0,,7,3:2:5:7,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,125,1,exact,,,2,2.5672005760922983e-05,,,,0.018765833003271837,6657f01c934c997da9f48817e73ff8ce292c3174
dv3-B-lgcp-000008,3,B,lgcp,8,0,,8,3:2:5:8,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,109,1,exact,,,2,2.5672005760922983e-05,,,,0.014820917000179179,08f78d8fd26552fb1fb5043295f40cbf7e9c81db
dv3-B-lgcp-000009,3,B,lgcp,9,0,,9,3:2:5:9,,test,0,125.0,,,,,,,,,0.32794736013978476,0.6,,,,,,,4.664340057232409,0.05366563145999495,256,0.49999999999999983,0.978996102789929,,1,118,1,exact,,,2,2.5672005760922983e-05,,,,0.014435832999879494,57922847d9638a405751ad9c694e70503c99adcf
