case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-B-matern2-000000,3,B,matern2,0,0,,0,3:2:3:0,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,136,1,exact,0.006260990336999411,141,,,,,,0.005105041000206256,ce040a2545b35df9e36b56093242fe1110490061
dv3-B-matern2-000001,3,B,matern2,1,0,,1,3:2:3:1,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,120,1,exact,0.006260990336999411,125,,,,,,8.483300189254805e-05,067ced0699d8f973711f760dc83d941f88daab1e
dv3-B-matern2-000002,3,B,matern2,2,0,,2,3:2:3:2,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,135,1,exact,0.006260990336999411,139,,,,,,6.450000000768341e-05,e4bb22946dacbe23182f50980c8e5091afae6465
dv3-B-matern2-000003,3,B,matern2,3,0,,3,3:2:3:3,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,122,1,exact,0.006260990336999411,127,,,,,,5.4333999287337065e-05,6a549dfd696045b4d0ef7aa3604a5f3175721d44
dv3-B-matern2-000004,3,B,matern2,4,0,,4,3:2:3:4,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,109,1,exact,0.006260990336999411,115,,,,,,4.74580010632053e-05,4c5176498e98c28858c94ba30659f00ef891fd97
dv3-B-matern2-000005,3,B,matern2,5,0,,5,3:2:3:5,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,139,1,exact,0.006260990336999411,144,,,,,,5.254099960438907e-05,c3a495aab7639504b40f143207bdadad393ac2a6
dv3-B-matern2-000006,3,B,matern2,6,0,,6,3:2:3:6,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,128,1,exact,0.006260990336999411,132,,,,,,4.8125002649612725e-05,396e908bbfd35b3c90da2b96ef7d0653372910ee
dv3-B-matern2-000007,3,B,matern2,7,0,,7,3:2:3:7,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,112,1,exact,0.006260990336999411,119,,,,,,4.9124999350169674e-05,a6acc9de6fd86902e748b8375c852f57b80fcb8c
dv3-B-matern2-000008,3,B,matern2,8,0,,8,3:2:3:8,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,123,1,exact,0.006260990336999411,126,,,,,,4.5000000682193786e-05,4f967ca000d66e71dac5dc2b65ac5472f0ffa6a5
dv3-B-matern2-000009,3,B,matern2,9,0,,9,3:2:3:9,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,144,1,exact,0.006260990336999411,148,,,,,,5.5791999329812825e-05,32d12c72753f2c4e53ee58a564037ee496c7f663
dv3-B-matern2-000010,3,B,matern2,10,0,,10,3:2:3:10,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,125,1,exact,0.006260990336999411,130,,,,,,5.0582999392645434e-05,4da51e890471173f74718463e18b72ade9552bb1
dv3-B-matern2-000011,3,B,matern2,11,0,,11,3:2:3:11,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,128,1,exact,0.006260990336999411,132,,,,,,5.066700032330118e-05,0adff668d0c355871077ed635da42e71c754947a
dv3-B-matern2-000012,3,B,matern2,12,0,,12,3:2:3:12,,test,0,125.0,,,,,,,0.07,,,,,,,125.97210188455318,0.006260990336999411,,,,,0.1666368435608244,0.049444685165438346,,1,140,1,exact,0.006260990336999411,144,,,,,,4.983300095773302e-05,82649a86f254961e80cd0dbaf9483a65cad93f92
