case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-B-thomas-000000,3,B,thomas,0,0,,0,3:2:1:0,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,130,1,exact,0.06652778936737008,657,,,,,,0.0019442909979261458,6529f39a68ad2416631cb1d37a22f414c104fd73
dv3-B-thomas-000001,3,B,thomas,1,0,,1,3:2:1:1,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,120,1,exact,0.06652778936737008,622,,,,,,0.00012583299758262,33351572f73ec88e0654e0b658c760951de4a4e3
dv3-B-thomas-000002,3,B,thomas,2,0,,2,3:2:1:2,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,126,1,exact,0.06652778936737008,647,,,,,,9.662500087870285e-05,d1bb9e04ac571825af1af1b7156f18f85485f0ab
dv3-B-thomas-000003,3,B,thomas,3,0,,3,3:2:1:3,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,130,1,exact,0.06652778936737008,629,,,,,,8.558400077163242e-05,853d97ca3996bf54e4ed8981337d6b5ec84b1444
dv3-B-thomas-000004,3,B,thomas,4,0,,4,3:2:1:4,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,130,1,exact,0.06652778936737008,674,,,,,,9.279200094169937e-05,cbed50776343a3c8d7ed457aa1ab92765c4f4660
dv3-B-thomas-000005,3,B,thomas,5,0,,5,3:2:1:5,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,112,1,exact,0.06652778936737008,626,,,,,,7.770799857098609e-05,33416c633dc123a2f95990158b4abf84209f687f
dv3-B-thomas-000006,3,B,thomas,6,0,,6,3:2:1:6,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,127,1,exact,0.06652778936737008,622,,,,,,7.704200106672943e-05,41b125a90757d498270d86996789a01a55ef7521
dv3-B-thomas-000007,3,B,thomas,7,0,,7,3:2:1:7,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,142,1,exact,0.06652778936737008,617,,,,,,7.554100011475384e-05,0f0d3a123d8e072934e583d3c941ad9172ca5720
dv3-B-thomas-000008,3,B,thomas,8,0,,8,3:2:1:8,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,155,1,exact,0.06652778936737008,646,,,,,,7.60830007493496e-05,595505e6d6e367eadb433fd0aae2d1d37deebd40
dv3-B-thomas-000009,3,B,thomas,9,0,,9,3:2:1:9,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,108,1,exact,0.06652778936737008,588,,,,,,7.695800013607368e-05,c3d20783cd6eea6326b6a7f65d1ba1e6b2a09163
dv3-B-thomas-000010,3,B,thomas,10,0,,10,3:2:1:10,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,130,1,exact,0.06652778936737008,664,,,,,,7.574999835924245e-05,d483d302366a29f221c390b6435b6c800fc2078b
dv3-B-thomas-000011,3,B,thomas,11,0,,11,3:2:1:11,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,108,1,exact,0.06652778936737008,630,,,,,,7.191700206021778e-05,b3847339f8c70cd58fc3185b30f38a52cad94f63
dv3-B-thomas-000012,3,B,thomas,12,0,,12,3:2:1:12,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,133,1,exact,0.06652778936737008,678,,,,,,7.429100151057355e-05,cc4ee7042b9f1e35ad3ef99136f8fdb48e7bb4c9
dv3-B-thomas-000013,3,B,thomas,13,0,,13,3:2:1:13,,test,0,125.0,0.25188196977646427,0.2,,,,,,,,,496.2641832241219,0.01788854381999832,,,,,,,,0.4999999999999999,0.3330218444630791,,1,121,1,exact,0.06652778936737008,632,,,,,,7.179100066423416e-05,89c587acbab12c26db8f026b0887e1c984c9920e
