case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-C-matern2-000000,3,C,matern2,0,0,0,0,3:3:3:0,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,134,1,exact,0.005684002579524711,135,,,,,,0.00024533299801987596,cf5bfba13c6d6a5be434ea1af5cde212bf6b9ebd
dv3-C-matern2-000001,3,C,matern2,1,0,0,1,3:3:3:1,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,121,1,exact,0.005684002579524711,125,,,,,,0.00011337499745422974,fe02936d0005e1ee3a31cfc6fb7522eb328ab769
dv3-C-matern2-000002,3,C,matern2,2,0,0,2,3:3:3:2,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,126,1,exact,0.005684002579524711,131,,,,,,8.683400301379152e-05,b85f08fedd057bb90679da994b612ca36ba01486
dv3-C-matern2-000003,3,C,matern2,3,0,0,3,3:3:3:3,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,131,1,exact,0.005684002579524711,136,,,,,,0.00013212500198278576,70a6316c54af2a967034c6270ac8df2499e1a626
dv3-C-matern2-000004,3,C,matern2,4,0,0,4,3:3:3:4,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,123,1,exact,0.005684002579524711,125,,,,,,7.495799945900217e-05,7f73235a52b65778fde0abb5f75f0dc84b0c8411
dv3-C-matern2-000005,3,C,matern2,5,0,0,5,3:3:3:5,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,125,1,exact,0.005684002579524711,129,,,,,,6.299999949987978e-05,6cca9d52abaaecd2e2fcbfcdacae2f2e424e1f1c
dv3-C-matern2-000006,3,C,matern2,6,0,0,6,3:3:3:6,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,137,1,exact,0.005684002579524711,140,,,,,,5.3499999921768904e-05,8b19e175aba8f23f8c33212ec5fb8c3919b3a7d9
dv3-C-matern2-000007,3,C,matern2,7,0,0,7,3:3:3:7,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,112,1,exact,0.005684002579524711,113,,,,,,4.5417000364977866e-05,5595547efcf1b199821a028d2cbdb6aa6a6e2133
dv3-C-matern2-000008,3,C,matern2,8,0,0,8,3:3:3:8,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,112,1,exact,0.005684002579524711,117,,,,,,5.570799839915708e-05,5bffa7ddba59e8a423481476500388b4e36091b4
dv3-C-matern2-000009,3,C,matern2,9,0,0,9,3:3:3:9,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,117,1,exact,0.005684002579524711,120,,,,,,8.1667003541952e-05,60cf5578aee1b0102d1b183d7cf0a365a8c57d40
dv3-C-matern2-000010,3,C,matern2,10,0,0,10,3:3:3:10,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,106,1,exact,0.005684002579524711,110,,,,,,4.712499867309816e-05,35681e29a4c60b25c3ddf1ba92abbb36bf1ab384
dv3-C-matern2-000011,3,C,matern2,11,0,0,11,3:3:3:11,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,125,1,exact,0.005684002579524711,128,,,,,,4.504100070334971e-05,c47f3da1fc128df16e72833a45705dbbb965c545
dv3-C-matern2-000012,3,C,matern2,12,0,0,12,3:3:3:12,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,124,1,exact,0.005684002579524711,128,,,,,,4.3624997488223016e-05,a21d1771d7a573b09c6e3ad9687d16a4e6787dba
dv3-C-matern2-000013,3,C,matern2,13,0,0,13,3:3:3:13,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,114,1,exact,0.005684002579524711,116,,,,,,4.266600080882199e-05,a8b8959da590c746ffedc428fc3c949609ca457d
dv3-C-matern2-000014,3,C,matern2,14,0,0,14,3:3:3:14,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,135,1,exact,0.005684002579524711,136,,,,,,5.1125000027241185e-05,d83d6a81d6c68cb66e7c36367f26a91e544b20d0
dv3-C-matern2-000015,3,C,matern2,15,0,0,15,3:3:3:15,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,126,1,exact,0.005684002579524711,133,,,,,,5.0374997954349965e-05,f9fd50cb7e7cbd542be155e5021879124514f78d
dv3-C-matern2-000016,3,C,matern2,16,0,0,16,3:3:3:16,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,119,1,exact,0.005684002579524711,121,,,,,,4.70000013592653e-05,e651d83377ed9fafac9af0f67e79337dd6d5802b
dv3-C-matern2-000017,3,C,matern2,17,0,0,17,3:3:3:17,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,118,1,exact,0.005684002579524711,121,,,,,,4.6458000724669546e-05,ce6fab3b032f12beceef4e7dd1501f98ecfb86dc
dv3-C-matern2-000018,3,C,matern2,18,0,0,18,3:3:3:18,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,120,1,exact,0.005684002579524711,124,,,,,,4.308400093577802e-05,4ed4b955ca40efcea41391dbc1517c1c2dc6d1e2
dv3-C-matern2-000019,3,C,matern2,19,0,0,19,3:3:3:19,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,123,1,exact,0.005684002579524711,127,,,,,,4.3832998926518485e-05,97cd26d93db16f93f5acd3363f8258e0762dea65
dv3-C-matern2-000020,3,C,matern2,20,0,0,20,3:3:3:20,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,153,1,exact,0.005684002579524711,158,,,,,,5.424999835668132e-05,8bb37dd4ba4532e75841e601f4d1e529b9af06a2
dv3-C-matern2-000021,3,C,matern2,21,0,0,21,3:3:3:21,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,120,1,exact,0.005684002579524711,124,,,,,,4.545900083030574e-05,2a240f801c1859377aaa34aa0c32e89cd1f057b5
dv3-C-matern2-000022,3,C,matern2,22,0,0,22,3:3:3:22,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,121,1,exact,0.005684002579524711,123,,,,,,4.254200030118227e-05,ebe2d5fd832e10bbe5bd8d90fa297f5d5602f35a
dv3-C-matern2-000023,3,C,matern2,23,0,0,23,3:3:3:23,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,132,1,exact,0.005684002579524711,136,,,,,,4.650000118999742e-05,8781c285fd9ce0bf8017b0a25ee5c8f7579c473c
dv3-C-matern2-000024,3,C,matern2,24,0,0,24,3:3:3:24,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,148,1,exact,0.005684002579524711,152,,,,,,5.508399772224948e-05,8f67d32926a961f0ab9f4df42d88f71c817e16ff
dv3-C-matern2-000025,3,C,matern2,25,0,0,25,3:3:3:25,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,119,1,exact,0.005684002579524711,120,,,,,,4.2499999835854396e-05,7e3edda8ba1a84b63a2b9ee598447c3a0d78554b
dv3-C-matern2-000026,3,C,matern2,26,0,0,26,3:3:3:26,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,132,1,exact,0.005684002579524711,138,,,,,,4.629100294550881e-05,34aafeca1cc49bd508d6edc4302e8e7c31206b56
dv3-C-matern2-000027,3,C,matern2,27,0,0,27,3:3:3:27,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,119,1,exact,0.005684002579524711,122,,,,,,4.604199784807861e-05,2d952caa635fd70fcaffc7d8ff1789406a06010e
dv3-C-matern2-000028,3,C,matern2,28,0,0,28,3:3:3:28,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,97,1,exact,0.005684002579524711,100,,,,,,3.991699850303121e-05,7141780d48b7f9597b18efddf7e7d6143726f368
dv3-C-matern2-000029,3,C,matern2,29,0,0,29,3:3:3:29,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,141,1,exact,0.005684002579524711,143,,,,,,4.829200042877346e-05,68e0f26a91c3c9511befc7b3af8583ca78f0bf30
dv3-C-matern2-000030,3,C,matern2,30,0,0,30,3:3:3:30,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,119,1,exact,0.005684002579524711,122,,,,,,4.4958997023059055e-05,c2220ac88d3516733408d6f3bfe5c219a2764022
dv3-C-matern2-000031,3,C,matern2,31,0,0,31,3:3:3:31,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,140,1,exact,0.005684002579524711,146,,,,,,5.4166001064004377e-05,316dc29ff6118e59bc1c0ab64e1ee94d32d2f5f8
dv3-C-matern2-000032,3,C,matern2,32,0,0,32,3:3:3:32,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,123,1,exact,0.005684002579524711,125,,,,,,4.316700142226182e-05,a57ad7c792390e0115868fdc18978f51296a1cfb
dv3-C-matern2-000033,3,C,matern2,33,0,0,33,3:3:3:33,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,131,1,exact,0.005684002579524711,138,,,,,,4.999999873689376e-05,59625b6d3334e79ecb77a2ba184fb2dcc2eab28b
dv3-C-matern2-000034,3,C,matern2,34,0,0,34,3:3:3:34,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,119,1,exact,0.005684002579524711,120,,,,,,4.162500044913031e-05,7a6efc171ec5dd4f02bfb61e4db61360283d4bb9
dv3-C-matern2-000035,3,C,matern2,35,0,0,35,3:3:3:35,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,144,1,exact,0.005684002579524711,147,,,,,,5.104199954075739e-05,e7b2fd33d522284fe8d7d2839810dbd081bdb316
dv3-C-matern2-000036,3,C,matern2,36,0,0,36,3:3:3:36,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,122,1,exact,0.005684002579524711,125,,,,,,4.6542001655325294e-05,b7d25b5fcbd3263449129305fa90374cf5fb951f
dv3-C-matern2-000037,3,C,matern2,37,0,0,37,3:3:3:37,,test,0,125.0,,,,,,,0.06354908076050704,,,,,,,125.79972623873716,0.005684002579524711,,,,,0.13434917684902078,0.04489652424142544,,1,114,1,exact,0.005684002579524711,117,,,,,,4.437499956111424e-05,2324b09b0d1b30f680f0cf0bb732e56f7a7cd35e
