case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-C-nested-000000,3,C,nested,0,0,0,0,3:3:2:0,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,241,1,exact,0.3292957569931237,5255,,,,,,0.001773416999640176,81f78dea945f0046eb53afacf3f859889e6e4204
dv3-C-nested-000001,3,C,nested,1,0,0,1,3:3:2:1,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,283,1,exact,0.3292957569931237,5188,,,,,,0.0013839159983035643,cff1e50347187b966ab3852af08d23913b0a2d25
dv3-C-nested-000002,3,C,nested,2,0,0,2,3:3:2:2,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,249,1,exact,0.3292957569931237,5126,,,,,,0.0017292500015173573,b4b47d3ce748949f7a539d3d9a100185fc188d70
dv3-C-nested-000003,3,C,nested,3,0,0,3,3:3:2:3,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,267,1,exact,0.3292957569931237,5034,,,,,,0.0013937080002506264,0af52cab7ceb9e6986afdaed8bdd8f826003cb2f
dv3-C-nested-000004,3,C,nested,4,0,0,4,3:3:2:4,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,264,1,exact,0.3292957569931237,5277,,,,,,0.0012839160008297767,979847f2c0c2ee9eb0b9af81a33e96eb9ea94345
dv3-C-nested-000005,3,C,nested,5,0,0,5,3:3:2:5,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,272,1,exact,0.3292957569931237,5386,,,,,,0.0009834169977693819,4026f446d9c40ecc218341fd92bee641698a99c8
dv3-C-nested-000006,3,C,nested,6,0,0,6,3:3:2:6,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,262,1,exact,0.3292957569931237,5154,,,,,,0.0008019579981919378,0dd6ab4643f028df48dabcf2db4404c49e10c606
dv3-C-nested-000007,3,C,nested,7,0,0,7,3:3:2:7,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,257,1,exact,0.3292957569931237,5207,,,,,,0.0007613329980813432,4fe2d02092402b4f7137efcb0e5c6baeb14bc6dc
dv3-C-nested-000008,3,C,nested,8,0,0,8,3:3:2:8,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,278,1,exact,0.3292957569931237,5193,,,,,,0.0007669589977012947,1643544a6bc872fe83dede140eca61c887dd04e9
dv3-C-nested-000009,3,C,nested,9,0,0,9,3:3:2:9,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,229,1,exact,0.3292957569931237,4963,,,,,,0.001070375001290813,5ff49d947d0f8d01a0de9084529f1503e8f8cc95
dv3-C-nested-000010,3,C,nested,10,0,0,10,3:3:2:10,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,237,1,exact,0.3292957569931237,5271,,,,,,0.002536167001380818,852a5a7fe8db36f85101329fdf8a797ed21999f6
dv3-C-nested-000011,3,C,nested,11,0,0,11,3:3:2:11,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,258,1,exact,0.3292957569931237,5189,,,,,,0.0010586669995973352,4082e3c5dddf802e31de0ce940cd79390d43fcdf
dv3-C-nested-000012,3,C,nested,12,0,0,12,3:3:2:12,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,243,1,exact,0.3292957569931237,5349,,,,,,0.0008442919970548246,4b831b6eff393cea24e1c73cd11aacdb518d4908
dv3-C-nested-000013,3,C,nested,13,0,0,13,3:3:2:13,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,238,1,exact,0.3292957569931237,5243,,,,,,0.000793332998000551,e34ea0083034d3c6e4856de445581fe3af0ca8f2
dv3-C-nested-000014,3,C,nested,14,0,0,14,3:3:2:14,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,241,1,exact,0.3292957569931237,5322,,,,,,0.0007782909997331444,71b96c15468add44fa2fc2038416bc4e169cdf2a
dv3-C-nested-000015,3,C,nested,15,0,0,15,3:3:2:15,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,256,1,exact,0.3292957569931237,5092,,,,,,0.0012404590015648864,161a277f7ce159c9cc8f16330c337cdcf9acddca
dv3-C-nested-000016,3,C,nested,16,0,0,16,3:3:2:16,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,245,1,exact,0.3292957569931237,5234,,,,,,0.0014070830002310686,c9605e65bf1c1e2e0c71935df199ee5882bb6753
dv3-C-nested-000017,3,C,nested,17,0,0,17,3:3:2:17,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,257,1,exact,0.3292957569931237,5340,,,,,,0.0013884170002711471,d8529c8b9243b175cb108a9544baefce036eabe7
dv3-C-nested-000018,3,C,nested,18,0,0,18,3:3:2:18,,test,0,250.0,,,3.0,0.057479387124993495,0.2,6.0,,,,,1449.7950917973149,0.012649110640673518,0.0758946638440411,,,,,,,0.20765748291357858,0.3330218444630791,2.025692797270819,1,248,1,exact,0.3292957569931237,5123,,,,,,0.0013039160003245343,17900752671b9eab0c037a709ead0a9c08555a36
