case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-C-poisson-000000,3,C,poisson,0,0,0,0,3:3:0:0,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,141,1,exact,,,,,,,,0.0004014170008304063,715bbb6f283354af88d68eb74943ee49b650567f
dv3-C-poisson-000001,3,C,poisson,1,0,0,1,3:3:0:1,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,131,1,exact,,,,,,,,2.0209001377224922e-05,76da1b2bd8ecb9079fd8d6cba932c4512f4adc0d
dv3-C-poisson-000002,3,C,poisson,2,0,0,2,3:3:0:2,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,124,1,exact,,,,,,,,3.6249999538995326e-05,c3ddc9fe75fc3d1710f5898f99219884dbdd288d
dv3-C-poisson-000003,3,C,poisson,3,0,0,3,3:3:0:3,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,124,1,exact,,,,,,,,1.2500000593718141e-05,f494e055d5e364b8f6f979c26ea9a7ac269dfafb
dv3-C-poisson-000004,3,C,poisson,4,0,0,4,3:3:0:4,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,125,1,exact,,,,,,,,1.162499756901525e-05,be7f685fdaefa26da0542fd91a08c271d447fb56
dv3-C-poisson-000005,3,C,poisson,5,0,0,5,3:3:0:5,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,120,1,exact,,,,,,,,1.1416999768698588e-05,619aeeb360c6042d600b7c0085926bdef92f12b9
dv3-C-poisson-000006,3,C,poisson,6,0,0,6,3:3:0:6,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,140,1,exact,,,,,,,,1.1374999303370714e-05,068150a03d8935a45216999a0127204b69b76ef7
dv3-C-poisson-000007,3,C,poisson,7,0,0,7,3:3:0:7,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,138,1,exact,,,,,,,,1.083300230675377e-05,bd3d7b800ebd13f28a1fa91d5e404942c93aa32d
dv3-C-poisson-000008,3,C,poisson,8,0,0,8,3:3:0:8,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,123,1,exact,,,,,,,,1.487500048824586e-05,eea0712b85aa1f64ac88d75ebf18ea2d9dbe4997
dv3-C-poisson-000009,3,C,poisson,9,0,0,9,3:3:0:9,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,134,1,exact,,,,,,,,1.091699959943071e-05,3bdb185028c997197b03fdb7d8a86450634c1c7d
dv3-C-poisson-000010,3,C,poisson,10,0,0,10,3:3:0:10,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,123,1,exact,,,,,,,,1.0457999451318756e-05,1b120ef59851413da857df25ad506d3e39662493
dv3-C-poisson-000011,3,C,poisson,11,0,0,11,3:3:0:11,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,120,1,exact,,,,,,,,1.0333002137485892e-05,e0e24aa316457e2fa5ef8fe5c785877fd56e993a
dv3-C-poisson-000012,3,C,poisson,12,0,0,12,3:3:0:12,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,113,1,exact,,,,,,,,1.3250002666609362e-05,cf261e7ac0cc7f7fb33a95ca76af20a5704846f7
dv3-C-poisson-000013,3,C,poisson,13,0,0,13,3:3:0:13,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,124,1,exact,,,,,,,,1.454199809813872e-05,33d79a2a1a05bd9f65d4fd9dc3befc19382b7ff5
dv3-C-poisson-000014,3,C,poisson,14,0,0,14,3:3:0:14,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,133,1,exact,,,,,,,,1.0542000381974503e-05,1643ed55695235e404c2f00e916633b2a7d55b11
dv3-C-poisson-000015,3,C,poisson,15,0,0,15,3:3:0:15,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,93,1,exact,,,,,,,,4.045800233143382e-05,1e2571cfcc5d49b771549501c1d9f9881d8e60df
dv3-C-poisson-000016,3,C,poisson,16,0,0,16,3:3:0:16,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,128,1,exact,,,,,,,,1.8708000425249338e-05,5c70db26ad39bf3b61835a65715af73ca25e0bc5
dv3-C-poisson-000017,3,C,poisson,17,0,0,17,3:3:0:17,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,116,1,exact,,,,,,,,1.4083001588005573e-05,432cf8377ba33cbe56ea0e4cbe330f3418406a48
dv3-C-poisson-000018,3,C,poisson,18,0,0,18,3:3:0:18,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,137,1,exact,,,,,,,,1.3124998076818883e-05,d26dc54ac9e2fb33062a4a9d4eb96723b63b3e87
dv3-C-poisson-000019,3,C,poisson,19,0,0,19,3:3:0:19,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,137,1,exact,,,,,,,,1.1625001206994057e-05,b47c78a91efee8a709e3754eb64371dba38e8255
dv3-C-poisson-000020,3,C,poisson,20,0,0,20,3:3:0:20,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,124,1,exact,,,,,,,,1.125000198953785e-05,3a710fa83316b5ad4f47b334112f893eed62317f
dv3-C-poisson-000021,3,C,poisson,21,0,0,21,3:3:0:21,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,117,1,exact,,,,,,,,1.0917003237409517e-05,b93b8132e1b30a3e3fee55235b091b6661b83566
dv3-C-poisson-000022,3,C,poisson,22,0,0,22,3:3:0:22,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,108,1,exact,,,,,,,,1.3459000911097974e-05,ce5ea8d496bb6bb3e37f9242af647cc446e92f6a
dv3-C-poisson-000023,3,C,poisson,23,0,0,23,3:3:0:23,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,124,1,exact,,,,,,,,1.229100234922953e-05,11b614054ef13e099ab5f8d675083f2b3c1de539
dv3-C-poisson-000024,3,C,poisson,24,0,0,24,3:3:0:24,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,119,1,exact,,,,,,,,1.7207999917445704e-05,53b756b93dd8e2578ba824f25c4c29da157de2fd
dv3-C-poisson-000025,3,C,poisson,25,0,0,25,3:3:0:25,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,139,1,exact,,,,,,,,1.1042000551242381e-05,c8fa0bca6c750aef24d33cd1d6739392d86417fb
dv3-C-poisson-000026,3,C,poisson,26,0,0,26,3:3:0:26,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,122,1,exact,,,,,,,,1.049999991664663e-05,ddc68d95ce7e9265fc7790ff1f444fd80f8116cf
dv3-C-poisson-000027,3,C,poisson,27,0,0,27,3:3:0:27,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,121,1,exact,,,,,,,,1.0416002623969689e-05,dd9d5c422744ed0be882cb85bd76b23881f15645
dv3-C-poisson-000028,3,C,poisson,28,0,0,28,3:3:0:28,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,123,1,exact,,,,,,,,1.0416999430162832e-05,aa4f84b75da78c412cd60a728199785c0396597d
dv3-C-poisson-000029,3,C,poisson,29,0,0,29,3:3:0:29,,test,0,125.0,,,,,,,,,,,,,,,,,,,,0.0,,,1,148,1,exact,,,,,,,,1.0874999134102836e-05,27b5d1b422251829430f1766996d14d0cae9344d
