case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries
dv3-train-poisson-000000,3,train,poisson,0,,,,3:0:0:0,,train,0,739.8006268357533,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000001,3,train,poisson,1,,,,3:0:0:1,,train,0,173.6444723823448,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000002,3,train,poisson,2,,,,3:0:0:2,,train,0,774.4617153542655,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000003,3,train,poisson,3,,,,3:0:0:3,,train,0,236.98738233510267,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000004,3,train,poisson,4,,,,3:0:0:4,,train,0,168.10175737974177,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000005,3,train,poisson,5,,,,3:0:0:5,,train,0,299.41196350667497,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000006,3,train,poisson,6,,,,3:0:0:6,,train,0,124.54233776764976,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000007,3,train,poisson,7,,,,3:0:0:7,,train,0,199.7527933908898,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000008,3,train,poisson,8,,,,3:0:0:8,,train,0,339.5925182126339,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000009,3,train,poisson,9,,,,3:0:0:9,,train,0,304.28570969917297,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000010,3,train,poisson,10,,,,3:0:0:10,,train,0,423.90576911833654,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000011,3,train,poisson,11,,,,3:0:0:11,,train,0,205.4794888370348,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000012,3,train,poisson,12,,,,3:0:0:12,,train,0,491.647781198661,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000013,3,train,poisson,13,,,,3:0:0:13,,train,0,555.1987010268596,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000014,3,train,poisson,14,,,,3:0:0:14,,train,0,240.39718463446764,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000015,3,train,poisson,15,,,,3:0:0:15,,train,0,403.9101671237218,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000016,3,train,poisson,16,,,,3:0:0:16,,train,0,516.2419048033747,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000017,3,train,poisson,17,,,,3:0:0:17,,train,0,277.5359246078806,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000018,3,train,poisson,18,,,,3:0:0:18,,train,0,171.40983350235624,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000019,3,train,poisson,19,,,,3:0:0:19,,train,0,503.4733756866247,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000020,3,train,poisson,20,,,,3:0:0:20,,train,0,145.70011408292498,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000021,3,train,poisson,21,,,,3:0:0:21,,train,0,174.20921123155313,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000022,3,train,poisson,22,,,,3:0:0:22,,train,0,428.122849532631,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000023,3,train,poisson,23,,,,3:0:0:23,,train,0,432.00087691368105,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000024,3,train,poisson,24,,,,3:0:0:24,,train,0,501.4810317221328,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000025,3,train,poisson,25,,,,3:0:0:25,,train,0,449.58215401457517,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000026,3,train,poisson,26,,,,3:0:0:26,,train,0,520.797915040543,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000027,3,train,poisson,27,,,,3:0:0:27,,train,0,383.0109060089258,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000028,3,train,poisson,28,,,,3:0:0:28,,train,0,345.8714789183675,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000029,3,train,poisson,29,,,,3:0:0:29,,train,0,658.1309380313529,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000030,3,train,poisson,30,,,,3:0:0:30,,train,0,572.8676942191598,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000031,3,train,poisson,31,,,,3:0:0:31,,train,0,178.19033773598943,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000032,3,train,poisson,32,,,,3:0:0:32,,train,0,162.9638863386392,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000033,3,train,poisson,33,,,,3:0:0:33,,train,0,144.51555243437008,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000034,3,train,poisson,34,,,,3:0:0:34,,train,0,165.90174390304412,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000035,3,train,poisson,35,,,,3:0:0:35,,train,0,134.0587145923773,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000036,3,train,poisson,36,,,,3:0:0:36,,train,0,132.98632857468573,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000037,3,train,poisson,37,,,,3:0:0:37,,train,0,162.83260706711275,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000038,3,train,poisson,38,,,,3:0:0:38,,train,0,374.22360247141876,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000039,3,train,poisson,39,,,,3:0:0:39,,train,0,285.38768421835596,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000040,3,train,poisson,40,,,,3:0:0:40,,train,0,623.8535138387066,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000041,3,train,poisson,41,,,,3:0:0:41,,train,0,367.83462502738405,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000042,3,train,poisson,42,,,,3:0:0:42,,train,0,304.88971807531817,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000043,3,train,poisson,43,,,,3:0:0:43,,train,0,155.07031085491698,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000044,3,train,poisson,44,,,,3:0:0:44,,train,0,542.2776804196099,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000045,3,train,poisson,45,,,,3:0:0:45,,train,0,121.47034099786771,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000046,3,train,poisson,46,,,,3:0:0:46,,train,0,460.86162380873424,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000047,3,train,poisson,47,,,,3:0:0:47,,train,0,412.2807896587104,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000048,3,train,poisson,48,,,,3:0:0:48,,train,0,304.01753554759927,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000049,3,train,poisson,49,,,,3:0:0:49,,train,0,197.06320027741623,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000050,3,train,poisson,50,,,,3:0:0:50,,train,0,240.9033312385961,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000051,3,train,poisson,51,,,,3:0:0:51,,train,0,196.26394716687992,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000052,3,train,poisson,52,,,,3:0:0:52,,train,0,410.0675652763119,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000053,3,train,poisson,53,,,,3:0:0:53,,train,0,507.9299670315126,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000054,3,train,poisson,54,,,,3:0:0:54,,train,0,729.8858758956388,,,,,,,,,,,,,,,,,,,,0.0,,,1
