case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-A-lgcp-004500,3,A,lgcp,4500,,,,3:1:5:4500,,test,9,421.42804573749606,,,,,,,,,0.641205733033543,1.1934775200129182,,,,,,,5.723046186358451,0.05813698776822634,256,3.796754067496852,1.8915215689829064,,1,536,1,exact,,,2,2.019346681405216e-05,,,,0.01792195799862384,912956af2ce7dd73def6b3c93135eb6760714cc9
dv3-A-lgcp-004501,3,A,lgcp,4501,,,,3:1:5:4501,,test,9,243.23252064240913,,,,,,,,,0.07973492902395313,1.6363955059067976,,,,,,,5.454150396387095,0.1049246327687059,256,0.43113796378051095,2.72820730384782,,1,243,1,exact,,,2,3.4370204855442656e-06,,,,0.017377874999510823,a829b8ed7d21289c8012abd24c94d20e133333b0
dv3-A-lgcp-004502,3,A,lgcp,4502,,,,3:1:5:4502,,test,9,265.03188892222437,,,,,,,,,1.4597321833298884,1.6499950256535096,,,,,,,4.849984062637099,0.10135229074726354,256,10.142560142156764,2.3958838893055914,,1,234,1,exact,,,2,3.8129862609994763e-06,,,,0.014110084001003997,f1230d8223ccba5df57395ce352d5aeed6e38896
dv3-A-lgcp-004503,3,A,lgcp,4503,,,,3:1:5:4503,,test,9,146.2272366079887,,,,,,,,,0.541569726198758,0.9536907370734968,,,,,,,4.714376963773452,0.07886665622505651,256,1.40400259054404,1.5259026985855995,,1,124,1,exact,,,2,8.089989185089342e-06,,,,0.017683583002508385,a3f12af08c1da191621a9a449636fe104b1d57fa
dv3-A-lgcp-004504,3,A,lgcp,4504,,,,3:1:5:4504,,test,9,309.9023206404825,,,,,,,,,0.9944499772760349,0.6745378455222006,,,,,,,5.239032164480285,0.03831721245223599,256,3.0951658203156045,1.0316874802278269,,1,334,1,exact,,,2,7.050753774780244e-05,,,,0.015651541001716396,5755e6ef73563237f6e5bdcc2fb38a8f854d30aa
dv3-A-lgcp-004505,3,A,lgcp,4505,,,,3:1:5:4505,,test,9,508.5880452940933,,,,,,,,,0.13236047206110177,0.8094394708574103,,,,,,,6.165458111557533,0.03589230126432511,256,0.574025810987188,1.3434904364776372,,1,490,1,exact,,,2,8.57778928636712e-05,,,,0.01674079200165579,e5abd41afc0d698eaa5cb6d8ca33ad1c0f4e4c8d
dv3-A-lgcp-004506,3,A,lgcp,4506,,,,3:1:5:4506,,test,9,461.272745937136,,,,,,,,,2.3850467932508757,1.2456514510682068,,,,,,,4.941466111198267,0.057998617381218545,512,20.029869939392587,1.5983970769009272,,1,608,1,exact,,,2,2.5427858388202e-06,,,,0.06709645799855934,d9163ed935649ad8c8c567798518193b59179a22
dv3-A-lgcp-004507,3,A,lgcp,4507,,,,3:1:5:4507,,test,9,576.9255224118655,,,,,,,,,0.5748329465664964,1.6358428269542644,,,,,,,6.070296707617866,0.06810542352273498,256,5.339845599186244,2.6091302089860564,,1,644,1,exact,,,2,1.2561897857193964e-05,,,,0.015436916997714434,42eeaa4e171d379c4845b747a15ee802f744632c
dv3-A-lgcp-004508,3,A,lgcp,4508,,,,3:1:5:4508,,test,9,275.70123818476293,,,,,,,,,0.10988307239815856,0.6492086809944936,,,,,,,5.5643762728788495,0.03909893789633796,256,0.2798712958239545,1.0796067247450274,,1,282,1,exact,,,2,6.636408489159032e-05,,,,0.016819291999127017,e80ce9708d9111b594847783051689e358dd8b97
dv3-A-lgcp-004509,3,A,lgcp,4509,,,,3:1:5:4509,,test,9,706.9249646356735,,,,,,,,,0.9269960730256486,0.6711877079463242,,,,,,,6.097426491694304,0.025243951370291992,256,4.444319285022676,1.0338142330806817,,1,727,1,exact,,,2,0.00024636720498146864,,,,0.01753287500105216,9f9b12caec95a0eaac3319181db30aac16a6fa29
dv3-A-lgcp-004510,3,A,lgcp,4510,,,,3:1:5:4510,,test,9,394.36654728673335,,,,,,,,,2.0613256335374195,1.3290564688352773,,,,,,,4.94661798310971,0.0669257735358675,512,16.015883539882207,1.7868454171897767,,1,419,1,exact,,,2,1.6549703727890088e-06,,,,0.058849583998380695,63f8659bdaa2796823838a6b392b2a03f9badf57
dv3-A-lgcp-004511,3,A,lgcp,4511,,,,3:1:5:4511,,test,9,402.20598276447345,,,,,,,,,2.3122244366917335,0.8455037128930691,,,,,,,4.840852133980196,0.042159092696659406,512,12.427903697359856,1.0967510777972034,,1,449,1,exact,,,2,6.620090156058363e-06,,,,0.060157791998790344,b2b2c482c0e719a61f1ed57071bee0a965af3004
