case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-B-lgcp-100200,3,B,lgcp,100200,10,,200,3:2:5:100200,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,148,1,exact,,,2,2.0247252540550823e-06,,,,0.027862791997904424,ef373c67e880565ca3b008fd0d2507b5b5782f6a
dv3-B-lgcp-100201,3,B,lgcp,100201,10,,201,3:2:5:100201,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,114,1,exact,,,2,2.0247252540550823e-06,,,,0.03349795900066965,7bde10aa97f5f97508b22ebdb2953cdcf3b3c0bf
dv3-B-lgcp-100202,3,B,lgcp,100202,10,,202,3:2:5:100202,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,133,1,exact,,,2,2.0247252540550823e-06,,,,0.018640708000020823,be1ca47da7903de3f0ead5c91ea7a34b31e362f6
dv3-B-lgcp-100203,3,B,lgcp,100203,10,,203,3:2:5:100203,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,120,1,exact,,,2,2.0247252540550823e-06,,,,0.013247542003227863,7fad63af1150eb819335d4bc658e2f72d95e5a39
dv3-B-lgcp-100204,3,B,lgcp,100204,10,,204,3:2:5:100204,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,129,1,exact,,,2,2.0247252540550823e-06,,,,0.01609979099885095,6b86a9e2a66a1f6217479719e894e29b682e8fad
dv3-B-lgcp-100205,3,B,lgcp,100205,10,,205,3:2:5:100205,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,127,1,exact,,,2,2.0247252540550823e-06,,,,0.01866258299924084,f0eba1073343967f67aaa8f6a3c37f9d7152adbf
dv3-B-lgcp-100206,3,B,lgcp,100206,10,,206,3:2:5:100206,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,138,1,exact,,,2,2.0247252540550823e-06,,,,0.017953708000277402,402e9265bf6ee5c8b6320c08b66115aa82183e03
dv3-B-lgcp-100207,3,B,lgcp,100207,10,,207,3:2:5:100207,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,94,1,exact,,,2,2.0247252540550823e-06,,,,0.012715125001705019,75b077a6e9bc62b93f857544c9cd2121a74d3ff6
dv3-B-lgcp-100208,3,B,lgcp,100208,10,,208,3:2:5:100208,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,118,1,exact,,,2,2.0247252540550823e-06,,,,0.01606483300201944,3cdd9628c53dfc53298dd72f23cf9f83edb705af
dv3-B-lgcp-100209,3,B,lgcp,100209,10,,209,3:2:5:100209,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,103,1,exact,,,2,2.0247252540550823e-06,,,,0.016272459000902018,67c7fa2bbbb2cd1f0c2c7dacbcc57c90322499e4
dv3-B-lgcp-100210,3,B,lgcp,100210,10,,210,3:2:5:100210,,test,6,125.0,,,,,,,,,0.1557422829326456,1.4,,,,,,,4.750442595835978,0.1252198067399882,256,0.5000000000000002,2.319044440489321,,1,139,1,exact,,,2,2.0247252540550823e-06,,,,0.011607541997364024,e76ed76046f7214eafb06c67e5c955642d8d2081
