case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-B-matern2-110100,3,B,matern2,110100,11,,100,3:2:3:110100,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,470,1,exact,0.004919349550499537,486,,,,,,0.00026604199956636876,fd552ef0a650ab069149f4120750f7a75805a481
dv3-B-matern2-110101,3,B,matern2,110101,11,,101,3:2:3:110101,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,499,1,exact,0.004919349550499537,514,,,,,,0.0002213750012742821,70e2eb79c3410978c6577cf32243773701931bb8
dv3-B-matern2-110102,3,B,matern2,110102,11,,102,3:2:3:110102,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,494,1,exact,0.004919349550499537,516,,,,,,0.00021179099712753668,885f1e3a317587b081d76768c828bc97fd10cd1b
dv3-B-matern2-110103,3,B,matern2,110103,11,,103,3:2:3:110103,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,496,1,exact,0.004919349550499537,521,,,,,,0.00021149999884073623,7e7fc8b7607d7b4f67e727ffe11f36788b4a4b05
dv3-B-matern2-110104,3,B,matern2,110104,11,,104,3:2:3:110104,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,535,1,exact,0.004919349550499537,554,,,,,,0.00021750000087195076,e5df433bb26ac0c3501f88d74d75d3d395c9e16b
dv3-B-matern2-110105,3,B,matern2,110105,11,,105,3:2:3:110105,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,550,1,exact,0.004919349550499537,575,,,,,,0.00022229200112633407,ded5d9cfeeedce6223942e66f38c9cf0f58e1e1e
dv3-B-matern2-110106,3,B,matern2,110106,11,,106,3:2:3:110106,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,537,1,exact,0.004919349550499537,555,,,,,,0.00036079200071981177,acf466a7cf3f37fecc1df5da6dae9f6661277e98
dv3-B-matern2-110107,3,B,matern2,110107,11,,107,3:2:3:110107,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,527,1,exact,0.004919349550499537,551,,,,,,0.0002544589988247026,5391324b4affcf80685e8e6d97b036a37d9726f4
dv3-B-matern2-110108,3,B,matern2,110108,11,,108,3:2:3:110108,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,503,1,exact,0.004919349550499537,519,,,,,,0.0003209159985999577,e771cda798ba3e4a7953a02590e46fa355fb3d38
dv3-B-matern2-110109,3,B,matern2,110109,11,,109,3:2:3:110109,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,497,1,exact,0.004919349550499537,527,,,,,,0.00023454199981642887,9da518e4ee6bb55c4407ef1e1ecafb4c13e3852b
dv3-B-matern2-110110,3,B,matern2,110110,11,,110,3:2:3:110110,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,499,1,exact,0.004919349550499537,526,,,,,,0.00021533399922191165,353dfa9ea36c405f09cccdfb7c5856e369a28185
dv3-B-matern2-110111,3,B,matern2,110111,11,,111,3:2:3:110111,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,497,1,exact,0.004919349550499537,522,,,,,,0.00020762500207638368,e13e04984d38ceffe6c3f0aad3a29cc58793303c
dv3-B-matern2-110112,3,B,matern2,110112,11,,112,3:2:3:110112,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,511,1,exact,0.004919349550499537,531,,,,,,0.00021150000247871503,3c86230e2df82d5bca19575dd277df6c2d963d87
dv3-B-matern2-110113,3,B,matern2,110113,11,,113,3:2:3:110113,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,517,1,exact,0.004919349550499537,539,,,,,,0.00021025000023655593,95afd36b6410721c2287d0fef87901f72844a9c1
dv3-B-matern2-110114,3,B,matern2,110114,11,,114,3:2:3:110114,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,475,1,exact,0.004919349550499537,502,,,,,,0.00019995900220237672,d7ee8b6082fd4ae94e7747abec6869b9ed231cb5
dv3-B-matern2-110115,3,B,matern2,110115,11,,115,3:2:3:110115,,test,9,500.0,,,,,,,0.11,,,,,,,509.7512344050951,0.004919349550499537,,,,,0.5041011224780809,0.07757528040209472,,1,438,1,exact,0.004919349550499537,459,,,,,,0.0001834579998103436,f723474b6f6b18cf1cce5cabf98519aa63650d8a
