case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-B-thomas-030300,3,B,thomas,30300,3,,300,3:2:1:30300,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,112,1,exact,0.06652778936737008,57,,,,,,0.000352625000232365,95d7463213a9ac368fe222d3e3b51c6243622ef4
dv3-B-thomas-030301,3,B,thomas,30301,3,,301,3:2:1:30301,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,85,1,exact,0.06652778936737008,43,,,,,,9.166599920718e-05,5a651be19bf406579b3a6391e65922159180d791
dv3-B-thomas-030302,3,B,thomas,30302,3,,302,3:2:1:30302,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,116,1,exact,0.06652778936737008,45,,,,,,7.937500049592927e-05,5160f83eb9ca5a18e93186bc997457c845e1ebee
dv3-B-thomas-030303,3,B,thomas,30303,3,,303,3:2:1:30303,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,116,1,exact,0.06652778936737008,55,,,,,,6.891699740663171e-05,eea76985d2020bec582f3515dd7305c7f8b551f7
dv3-B-thomas-030304,3,B,thomas,30304,3,,304,3:2:1:30304,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,124,1,exact,0.06652778936737008,58,,,,,,6.887500057928264e-05,a899140e79423271d6e342fb9128a23e77654a46
dv3-B-thomas-030305,3,B,thomas,30305,3,,305,3:2:1:30305,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,96,1,exact,0.06652778936737008,54,,,,,,6.545900032506324e-05,8dd1e9bfea79ad9f7397eb4652b904ce8b9e6ae7
dv3-B-thomas-030306,3,B,thomas,30306,3,,306,3:2:1:30306,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,138,1,exact,0.06652778936737008,69,,,,,,7.029200060060248e-05,d329e9658b0f32b89d1c718d04484f82a2c5d7cd
dv3-B-thomas-030307,3,B,thomas,30307,3,,307,3:2:1:30307,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,102,1,exact,0.06652778936737008,55,,,,,,6.075000055716373e-05,cffe7c36a04394dbfa4320b5932c0642a5c1abb7
dv3-B-thomas-030308,3,B,thomas,30308,3,,308,3:2:1:30308,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,112,1,exact,0.06652778936737008,57,,,,,,6.041699816705659e-05,a6506e24b6b2ff0049d49210541d16ef80f716d7
dv3-B-thomas-030309,3,B,thomas,30309,3,,309,3:2:1:30309,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,121,1,exact,0.06652778936737008,58,,,,,,6.054099867469631e-05,3fc62e3cdc84312c4524b8c60beab694c03b2539
dv3-B-thomas-030310,3,B,thomas,30310,3,,310,3:2:1:30310,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,133,1,exact,0.06652778936737008,55,,,,,,0.00024137500076903962,8bf149fad85692c19c9814501358486c692ee124
dv3-B-thomas-030311,3,B,thomas,30311,3,,311,3:2:1:30311,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,154,1,exact,0.06652778936737008,65,,,,,,0.00016650000179652125,8a0f6175ce78c81daf56f33797a27b09c327fa2e
dv3-B-thomas-030312,3,B,thomas,30312,3,,312,3:2:1:30312,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,174,1,exact,0.06652778936737008,66,,,,,,0.00014629199722548947,ecb97c3210f55a9c20cdc17b8214dbe46e6d131d
dv3-B-thomas-030313,3,B,thomas,30313,3,,313,3:2:1:30313,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,120,1,exact,0.06652778936737008,54,,,,,,0.00013262500215205364,e317f01468f3c9c3d0502966d3480f54c0fb34b6
dv3-B-thomas-030314,3,B,thomas,30314,3,,314,3:2:1:30314,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,113,1,exact,0.06652778936737008,55,,,,,,0.0001277919982385356,b5213e8bb82b62912fc36d1c0ab6c37c329fc295
dv3-B-thomas-030315,3,B,thomas,30315,3,,315,3:2:1:30315,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,108,1,exact,0.06652778936737008,48,,,,,,0.00012533300105133094,612216d13ca9cab82d5e1efa8e542ae1609f8357
dv3-B-thomas-030316,3,B,thomas,30316,3,,316,3:2:1:30316,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,130,1,exact,0.06652778936737008,61,,,,,,0.001233458002388943,0bf70d16b5602033ebd9c907ef35a45d361d9713
dv3-B-thomas-030317,3,B,thomas,30317,3,,317,3:2:1:30317,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,99,1,exact,0.06652778936737008,55,,,,,,0.00018937500135507435,bad456709e3740b8064cfdfe74fbaea961108d7b
dv3-B-thomas-030318,3,B,thomas,30318,3,,318,3:2:1:30318,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,144,1,exact,0.06652778936737008,69,,,,,,0.0001527920030639507,a00a888a9b0fbe0216bf10574509876b6d83d319
dv3-B-thomas-030319,3,B,thomas,30319,3,,319,3:2:1:30319,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,111,1,exact,0.06652778936737008,59,,,,,,0.00013041700003668666,725a4ab9e4766f21d54e6ebde6f7cf939c4fbf16
dv3-B-thomas-030320,3,B,thomas,30320,3,,320,3:2:1:30320,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,140,1,exact,0.06652778936737008,61,,,,,,0.00017700000171316788,2123038568aa69b587ed330df3abe7b65724883c
dv3-B-thomas-030321,3,B,thomas,30321,3,,321,3:2:1:30321,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,109,1,exact,0.06652778936737008,57,,,,,,0.00016454100114060566,a30c9914f945c5f96ec6d6c58a27e450454bd3e3
dv3-B-thomas-030322,3,B,thomas,30322,3,,322,3:2:1:30322,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,112,1,exact,0.06652778936737008,50,,,,,,0.00014370800272445194,6712c8048322ba8a1b9d5912a3b2b633464a39eb
dv3-B-thomas-030323,3,B,thomas,30323,3,,323,3:2:1:30323,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,122,1,exact,0.06652778936737008,60,,,,,,0.00013224999929661863,dec68e6351248fee51c754d8cb19851e9e7b1aeb
dv3-B-thomas-030324,3,B,thomas,30324,3,,324,3:2:1:30324,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,111,1,exact,0.06652778936737008,45,,,,,,0.00012404199878801592,1fa46e59887bfe766002c9e97480f343110cf239
dv3-B-thomas-030325,3,B,thomas,30325,3,,325,3:2:1:30325,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,148,1,exact,0.06652778936737008,68,,,,,,0.00012683300155913457,6759bec5a6c85fd1baa5a82659318392ced476af
dv3-B-thomas-030326,3,B,thomas,30326,3,,326,3:2:1:30326,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,101,1,exact,0.06652778936737008,65,,,,,,0.00012629199773073196,df2cf56202cc0cf3d75c8ff93bf8bef650e6f508
dv3-B-thomas-030327,3,B,thomas,30327,3,,327,3:2:1:30327,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,114,1,exact,0.06652778936737008,57,,,,,,0.00012458300261641853,9346181449b4be237b482c114bacff9aa7139c4c
dv3-B-thomas-030328,3,B,thomas,30328,3,,328,3:2:1:30328,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,117,1,exact,0.06652778936737008,58,,,,,,0.00012566700024763122,5cea51ae2eeb150541c78aea4541fb1ac46b8cc1
dv3-B-thomas-030329,3,B,thomas,30329,3,,329,3:2:1:30329,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,144,1,exact,0.06652778936737008,63,,,,,,0.00012512500325101428,9d5a2f4f9957df597d5dff01f7f8f58953680566
dv3-B-thomas-030330,3,B,thomas,30330,3,,330,3:2:1:30330,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,105,1,exact,0.06652778936737008,52,,,,,,0.00012387499737087637,e2934947e000bee4b165d75f164f998679b9cc06
dv3-B-thomas-030331,3,B,thomas,30331,3,,331,3:2:1:30331,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,129,1,exact,0.06652778936737008,54,,,,,,0.0001233750008395873,c73c9200f08e61142b76871cf2d38e3be0ae2b00
dv3-B-thomas-030332,3,B,thomas,30332,3,,332,3:2:1:30332,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,126,1,exact,0.06652778936737008,54,,,,,,0.00012549999883049168,7cc11d2a73e6116523d760e249f68428b42cbcb5
dv3-B-thomas-030333,3,B,thomas,30333,3,,333,3:2:1:30333,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,126,1,exact,0.06652778936737008,51,,,,,,0.00011945799997192807,c5376f6bd7ed9f84eb58b76a35815a7c75de2fc2
dv3-B-thomas-030334,3,B,thomas,30334,3,,334,3:2:1:30334,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,95,1,exact,0.06652778936737008,49,,,,,,0.00014108300092630088,7f0c17d635c7cc38ae2694f58c083b4f54b05404
dv3-B-thomas-030335,3,B,thomas,30335,3,,335,3:2:1:30335,,test,3,125.0,2.825416522716492,0.2,,,,,,,,,44.24126460470294,0.01788854381999832,,,,,,,,3.9999999999999987,0.3330218444630791,,1,104,1,exact,0.06652778936737008,55,,,,,,0.00011637500210781582,e7a56795a8493c0068e11d2e06281595f8e4b9a4
