case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-train-lgcp-009000,3,train,lgcp,9000,,,,3:0:5:9000,,val,18,121.76580673217256,,,,,,,,,2.2835477519127436,0.734289326442702,,,,,,,3.6603257070015793,0.06654333151445879,256,5.54764637314582,0.956507448649861,,1,106,1,exact,,,2,1.3467360370626682e-05,,,,0.016153458000189858,a8d2d675d2cb55f5e52b6c7220ab0e58fcabcf55
dv3-train-lgcp-009001,3,train,lgcp,9001,,,,3:0:5:9001,,val,18,321.34310437138896,,,,,,,,,1.1533747865093695,0.9887746225291604,,,,,,,5.1958220200202225,0.055158547209183034,256,5.407930103835181,1.486723158516404,,1,319,1,exact,,,2,2.364379971015101e-05,,,,0.019478457998047816,498863add2121548fc70e20078eb1ebac86f52a1
dv3-train-lgcp-009002,3,train,lgcp,9002,,,,3:0:5:9002,,val,18,183.6538878671173,,,,,,,,,0.7245986801335871,0.8453489308454959,,,,,,,4.850753601956383,0.06237864610939064,256,2.0359724439896962,1.3289386474967595,,1,138,1,exact,,,2,1.634842055700056e-05,,,,0.02113195800120593,5cf8d2c773a20627b980447fcc256832c66841f7
dv3-train-lgcp-009003,3,train,lgcp,9003,,,,3:0:5:9003,,val,18,285.7695395800726,,,,,,,,,0.16342817564991852,1.8200417703490828,,,,,,,5.573471592494912,0.10766471316254314,256,1.0679762985757866,3.012837029429981,,1,293,1,exact,,,2,3.1815573345281646e-06,,,,0.02160304199787788,96fa82895a9cf2cd94d356b3137732b40c15160b
dv3-train-lgcp-009004,3,train,lgcp,9004,,,,3:0:5:9004,,val,18,208.69756516490799,,,,,,,,,0.6501765590406481,1.0906296717751036,,,,,,,5.015797867819681,0.07549507446764098,256,2.4903281013532172,1.7270236301323734,,1,161,1,exact,,,2,9.222811911519095e-06,,,,0.04983120799806784,013a95d8b67b5fba205d246ebc93f2e5ecb64ff2
dv3-train-lgcp-009005,3,train,lgcp,9005,,,,3:0:5:9005,,val,18,265.0192926223858,,,,,,,,,0.2707851391084328,0.513443631197051,,,,,,,5.4444100561306685,0.03153944348949871,256,0.5479425092341041,0.8420286461196843,,1,287,1,exact,,,2,0.00012639353560008773,,,,0.020794500000192784,ebee3e5a10e45378b9f9195001586b7cda941158
dv3-train-lgcp-009006,3,train,lgcp,9006,,,,3:0:5:9006,,val,18,170.319411803137,,,,,,,,,1.8780879011263327,0.6918689735675704,,,,,,,4.198631616535217,0.05301414737759805,256,4.918500965335196,0.9534684596669533,,1,131,1,exact,,,2,2.6629919630212783e-05,,,,0.024232708998169983,a5934f0d77351e897cbd96fe69dcfb4fc421ea72
dv3-train-lgcp-009007,3,train,lgcp,9007,,,,3:0:5:9007,,val,18,326.5143304331278,,,,,,,,,1.4381570493239904,0.7255294717356386,,,,,,,5.069395314157547,0.040151699760165326,256,5.261938037787572,1.0561951495980646,,1,350,1,exact,,,2,6.128153255415324e-05,,,,0.01716179200229817,e49c931161cd4c5142c6c12458c5258ba833014f
dv3-train-lgcp-009008,3,train,lgcp,9008,,,,3:0:5:9008,,val,18,403.67865337881506,,,,,,,,,2.408971964297468,0.855611995697541,,,,,,,4.7961331668754275,0.04258522758428915,512,13.32787291967645,1.0939568183569441,,1,304,1,exact,,,2,6.423353340828884e-06,,,,0.07411908300127834,8208fad814854d5c240651f120f3aa2298540a35
dv3-train-lgcp-009009,3,train,lgcp,9009,,,,3:0:5:9009,,val,18,549.255806438916,,,,,,,,,1.3700064482950376,1.906647868312324,,,,,,,5.623561058638774,0.08135479664496655,256,15.784353461162176,2.7977790097267254,,1,529,1,exact,,,2,7.370316098150917e-06,,,,0.016320999999152264,2b6630753299dc6de545b38d07ba82e835872ae0
dv3-train-lgcp-009010,3,train,lgcp,9010,,,,3:0:5:9010,,val,18,410.1515665660268,,,,,,,,,0.2398092809324286,0.6761713413170489,,,,,,,5.896622125470622,0.033387551617408126,256,0.786092209623882,1.1119184803756554,,1,434,1,exact,,,2,0.00010655577776122338,,,,0.014862125000945525,734ed83f0528e71d22ff9280ac39eef9e2283fdc
