case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-train-matern2-002500,3,train,matern2,2500,,,,3:0:3:2500,,train,5,118.17488874327215,,,,,,,0.06431594439923788,,,,,,,118.94946725683961,0.0059163798603868835,,,,,0.13762456827940245,0.04543732848248736,,1,131,1,exact,0.0059163798603868835,135,,,,,,0.00023754200083203614,da14d49c9c360f66ecf56ef1abf36b38725f2101
dv3-train-matern2-002501,3,train,matern2,2501,,,,3:0:3:2501,,train,5,572.0631175944878,,,,,,,0.13560085021019105,,,,,,,589.2513296095599,0.005669443586913039,,,,,0.7821013567399548,0.09549480608569748,,1,581,1,exact,0.005669443586913039,605,,,,,,0.00026412499937578104,31bbb6a2abd2b693e0470de1ea1e6529a5f3106b
dv3-train-matern2-002502,3,train,matern2,2502,,,,3:0:3:2502,,train,5,109.25100795174632,,,,,,,0.24244442668213706,,,,,,,120.78202968598745,0.023195272486524577,,,,,1.8533651236368125,0.16910118435604518,,1,98,1,exact,0.023195272486524577,122,,,,,,9.954200140782632e-05,8ac2e2785905f8a3315523b9c348abf97a707c18
dv3-train-matern2-002503,3,train,matern2,2503,,,,3:0:3:2503,,train,5,655.8322951774718,,,,,,,0.10692117535559925,,,,,,,667.8992486889949,0.004175104257003279,,,,,0.46534475397979613,0.07541521755645685,,1,680,1,exact,0.004175104257003279,701,,,,,,0.00027054200108977966,dd47f20a8ef6ee1adcfb6449cc09722b09f651e9
dv3-train-matern2-002504,3,train,matern2,2504,,,,3:0:3:2504,,train,5,153.19655554611694,,,,,,,0.5020179390273831,,,,,,,303.59085811552814,0.040559700183534074,,,,,4.631926611261774,0.32660156649364747,,1,148,1,exact,0.040559700183534074,332,,,,,,0.00016345900075975806,51bc2794c7bf2165813ea6a4bc0d2a438f40be92
dv3-train-matern2-002505,3,train,matern2,2505,,,,3:0:3:2505,,train,5,253.67182691171993,,,,,,,0.08937220342693211,,,,,,,256.90880206315086,0.005611336937331712,,,,,0.33429889867436724,0.06308545598645905,,1,284,1,exact,0.005611336937331712,299,,,,,,0.00014262499826145358,370dd5dd4b3f57f7482b79ebc9fbfcc94a548533
dv3-train-matern2-002506,3,train,matern2,2506,,,,3:0:3:2506,,train,5,263.2204896711164,,,,,,,0.21328384663533728,,,,,,,284.03802409541095,0.013146135926143788,,,,,2.678447439740159,0.14925115619760101,,1,295,1,exact,0.013146135926143788,326,,,,,,0.00015004200031398796,4c385136d879a5b7f4ce03614a5edb6eb68a2a1e
dv3-train-matern2-002507,3,train,matern2,2507,,,,3:0:3:2507,,train,5,111.89100770990932,,,,,,,0.053481358418531556,,,,,,,112.39675243105103,0.005055974060488576,,,,,0.09172744031989974,0.037793540194642844,,1,97,1,exact,0.005055974060488576,100,,,,,,7.666699821129441e-05,a9955f68a407e220370b3f4a9d9498609ce0ebdf
dv3-train-matern2-002508,3,train,matern2,2508,,,,3:0:3:2508,,train,5,193.90504518349695,,,,,,,0.1192079666373598,,,,,,,198.36666195316903,0.008560728536126438,,,,,0.6639612619482829,0.08402937374169371,,1,205,1,exact,0.008560728536126438,222,,,,,,0.00011616699703154154,8be1abc91cb6a80b55373f67e5e2af914d2ffda1
dv3-train-matern2-002509,3,train,matern2,2509,,,,3:0:3:2509,,train,5,392.11123418770757,,,,,,,0.24256264493006388,,,,,,,433.5433234169937,0.012249525805840999,,,,,3.771360624897361,0.16918120059290878,,1,400,1,exact,0.012249525805840999,460,,,,,,0.00018925000040326267,5cd3e4789bf1df720ce052360268d19f0bfcb97b
dv3-train-matern2-002510,3,train,matern2,2510,,,,3:0:3:2510,,train,5,111.34179671716637,,,,,,,0.13583506862616926,,,,,,,114.69920946052416,0.012873089654284542,,,,,0.9275990823494698,0.09565837412934186,,1,101,1,exact,0.012873089654284542,111,,,,,,8.495800284435973e-05,483841c904c55c4e036e97ed13377db32f5ed85d
dv3-train-matern2-002511,3,train,matern2,2511,,,,3:0:3:2511,,train,5,495.06464950495496,,,,,,,0.20825089808351943,,,,,,,532.2047441620964,0.0093595706060296,,,,,2.4072203135032604,0.1458040251074338,,1,480,1,exact,0.0093595706060296,546,,,,,,0.00022012500267010182,5dc65db1a31ee7784a9c883a5f988622987a12ca
dv3-train-matern2-002512,3,train,matern2,2512,,,,3:0:3:2512,,train,5,660.2215916455742,,,,,,,0.06162716278036839,,,,,,,664.191913932981,0.0023984314610124282,,,,,0.15063598235026296,0.04354100551713423,,1,637,1,exact,0.0023984314610124282,645,,,,,,0.00024058300186879933,f27f58572a99572c2f3a133e1f6fcef1a0ee47fe
dv3-train-matern2-002513,3,train,matern2,2513,,,,3:0:3:2513,,train,5,314.36836701097917,,,,,,,0.4022080078890595,,,,,,,439.0118673364123,0.02268460876449522,,,,,5.629242471252741,0.27212262905642404,,1,310,1,exact,0.02268460876449522,485,,,,,,0.00020337500245659612,f48618eea3362669fa6f3f0c1f42c7d964d1fcf9
dv3-train-matern2-002514,3,train,matern2,2514,,,,3:0:3:2514,,train,5,253.9950228631868,,,,,,,0.42220886376393757,,,,,,,372.3738283740018,0.026491999811941832,,,,,5.366665905761211,0.2839512987892928,,1,257,1,exact,0.026491999811941832,416,,,,,,0.0001804589992389083,5b10b31fc4572cc39e8d449b75a2f24cec228ec6
dv3-train-matern2-002515,3,train,matern2,2515,,,,3:0:3:2515,,train,5,400.3383175338774,,,,,,,0.16945041344193737,,,,,,,419.55982773210866,0.008468939940482995,,,,,1.4068496530505148,0.11905064304634846,,1,414,1,exact,0.008468939940482995,461,,,,,,0.00019474999862723053,43b077bc14378f40a7ad1af8a9e6851099fab1f7
dv3-train-matern2-002516,3,train,matern2,2516,,,,3:0:3:2516,,train,5,221.9437512131897,,,,,,,0.06559803511170846,,,,,,,223.4575938083055,0.004403209709912181,,,,,0.1693027585598315,0.04634139994124627,,1,224,1,exact,0.004403209709912181,233,,,,,,0.00011362500299583189,a8e3203ed535e9a88107b490bd780b8729a6023a
dv3-train-matern2-002517,3,train,matern2,2517,,,,3:0:3:2517,,train,5,162.88286589010417,,,,,,,0.16278574614164137,,,,,,,170.06430300279257,0.012754947444083386,,,,,1.5387752183831207,0.11442692459020966,,1,157,1,exact,0.012754947444083386,177,,,,,,0.00010474999726284295,05b7a43fc5f689ceb260d6a372c8219ab7ab855c
dv3-train-matern2-002518,3,train,matern2,2518,,,,3:0:3:2518,,train,5,641.9489207055268,,,,,,,0.28706336403913263,,,,,,,742.9068815358922,0.01132993800348661,,,,,5.748097132716984,0.1989963067028896,,1,634,1,exact,0.01132993800348661,784,,,,,,0.0002978329976031091,9feec754ca65de0847722c57518bad1a50cdff3e
dv3-train-matern2-002519,3,train,matern2,2519,,,,3:0:3:2519,,train,5,738.5503271084342,,,,,,,0.4198837744483025,,,,,,,1076.2765292377871,0.015450375724421704,,,,,9.123827605414547,0.2825941765331674,,1,755,1,exact,0.015450375724421704,1154,,,,,,0.0004262080001353752,1e5a127429456147ffceb6b050853ff647209242
dv3-train-matern2-002520,3,train,matern2,2520,,,,3:0:3:2520,,train,5,180.07829558233078,,,,,,,0.0816643446915743,,,,,,,181.99151999597711,0.0060855774744171445,,,,,0.26093433547521994,0.05766142996595654,,1,167,1,exact,0.0060855774744171445,174,,,,,,0.00010345799819333479,102941eb0f2a30a5f709133c311c7ecc0eb2a5aa
dv3-train-matern2-002521,3,train,matern2,2521,,,,3:0:3:2521,,train,5,583.5668699376882,,,,,,,0.1653157053910886,,,,,,,610.1517471536407,0.006843350757120597,,,,,1.2182177594809387,0.11618300654800692,,1,579,1,exact,0.006843350757120597,625,,,,,,0.00024066699916147627,74a33b95eaa13a53485b64f73ee60e0d3f96273b
dv3-train-matern2-002522,3,train,matern2,2522,,,,3:0:3:2522,,train,5,267.6126452046824,,,,,,,0.2539527440044803,,,,,,,299.0497072498003,0.015523855601757891,,,,,3.2739892485682853,0.17687181188674503,,1,240,1,exact,0.015523855601757891,289,,,,,,0.00013591600145446137,dc57cfafbd9edb1d4e5f06ed07a006e9e60b584f
dv3-train-matern2-002523,3,train,matern2,2523,,,,3:0:3:2523,,train,5,394.92021307040426,,,,,,,0.15763250280764796,,,,,,,411.18668642147804,0.007932153132355665,,,,,1.1619171992440487,0.11084673715350597,,1,364,1,exact,0.007932153132355665,390,,,,,,0.00016408299779868685,4344427e8dd5e832b1ffd2db30883bf0a4c9cd63
dv3-train-matern2-002524,3,train,matern2,2524,,,,3:0:3:2524,,train,5,211.07461159099122,,,,,,,0.052739054324816806,,,,,,,212.0022094467711,0.0036300644744302352,,,,,0.10624356905714985,0.03726961848502929,,1,209,1,exact,0.0036300644744302352,212,,,,,,0.00011204100155737251,484ca902dce3b644b8eff2b8e56d8a09b0485ed8
dv3-train-matern2-002525,3,train,matern2,2525,,,,3:0:3:2525,,train,5,122.14049215957692,,,,,,,0.11414792171392274,,,,,,,124.71073658621155,0.010328521928476707,,,,,0.7802409290516038,0.0804838194262178,,1,133,1,exact,0.010328521928476707,138,,,,,,8.4916999185225e-05,3ae4fa3ee8651b0eb6ef0943ebfaadbc3f1d574c
