case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-train-nested-001500,3,train,nested,1500,,,,3:0:2:1500,,train,3,739.4385939606424,,,5.871161433876556,2.0355417389678503,0.20738486358172878,5.605043519727134,,,,,61.872559251405185,0.007626512707109348,0.04274693562709989,,,,,,,11.854544487829564,0.3453184489185568,1.9660878929148635,1,740,1,exact,0.18733968478417415,408,,,,,,0.0007480829990527127,1bf6c777484768aa569be51a1077a51012fff914
dv3-train-nested-001501,3,train,nested,1501,,,,3:0:2:1501,,train,3,706.5683378665301,,,2.67834695679288,0.06289895959420053,0.17203921874560632,9.425649458334966,,,,,4194.149192960451,0.006472176847450124,0.06100447019641637,,,,,,,0.41333767265222066,0.2864640897332447,2.715263557161719,1,768,1,exact,0.2509467627394138,12623,,,,,,0.002802958002575906,f694a5682ec44ebb0b2b0cb458f0b7d275d10bdf
dv3-train-nested-001502,3,train,nested,1502,,,,3:0:2:1502,,train,3,357.1002125403678,,,1.9700208145017721,4.634034345565731,0.10869442436778215,6.769431283043575,,,,,39.11650511893822,0.005751911728965958,0.038937171195367416,,,,,,,14.124736610542252,0.1809880884290573,1.238482325550017,1,476,1,exact,0.16619943611549176,111,,,,,,0.00022375000116880983,6fbfe7e7caeb7d69d9d237b2c96200db0eb32026
dv3-train-nested-001503,3,train,nested,1503,,,,3:0:2:1503,,train,3,529.9431518564585,,,3.3850904236698494,0.09272868176032083,0.16844993143392445,6.676448187532655,,,,,1688.2817441208772,0.00731738989553928,0.04885417450554299,,,,,,,0.5659652565754982,0.2804875343290236,1.8935497269564958,2,519,1,exact,0.2089029740214604,6416,,,,,,0.0008170839973900001,37343e5c87a48354fc9d5b3f63684cf05b101145
dv3-train-nested-001504,3,train,nested,1504,,,,3:0:2:1504,,train,3,536.3643066278539,,,4.95218263075286,0.6366511882130488,0.2786939798050902,8.095783533735146,,,,,170.122463366323,0.012033657674876054,0.09742188765486712,,,,,,,2.2587889586269894,0.4640559159772362,3.7854480944905067,3,429,1,exact,0.4070669775058564,800,,,,,,0.00046674999975948595,29848577611aa7743484f0e3a8031305f121f50e
dv3-train-nested-001505,3,train,nested,1505,,,,3:0:2:1505,,train,3,285.3564352092457,,,1.5430233329163443,0.5242378306384442,0.08711123890037822,10.620507372024068,,,,,352.76608057957765,0.005156800791803083,0.054767840825404195,,,,,,,2.884970379248519,0.1450497272603394,1.5473153860569882,1,284,1,exact,0.22286073005941742,614,,,,,,0.0003645840006356593,1431fc2c3d2000d2b1864a7b52a47f64aabe0899
dv3-train-nested-001506,3,train,nested,1506,,,,3:0:2:1506,,train,3,141.97906929452725,,,2.315764584773015,0.60018356514984,0.18220882715265058,3.0922552058127124,,,,,102.15175163924812,0.015291752144936846,0.04728600017617867,,,,,,,1.7627441031923765,0.3033975984791503,0.9860208290009536,1,133,1,exact,0.2327276925049911,293,,,,,,0.0002950829984911252,aba79eed70e728920b8bbc67fae6305a51b9034c
dv3-train-nested-001507,3,train,nested,1507,,,,3:0:2:1507,,train,3,378.44595164054783,,,2.247000576875779,0.9658380608942598,0.051909742958091525,8.419510258214967,,,,,174.37987587655522,0.002668375512329003,0.02246641499882366,,,,,,,6.267446570479148,0.08643539172753985,0.7328587328207296,1,347,1,exact,0.09347670026945176,361,,,,,,0.00029100000028847717,d7de65bf386564bfe90c58fad5caa09e0fa3bebd
dv3-train-nested-001508,3,train,nested,1508,,,,3:0:2:1508,,train,3,195.31757708564632,,,3.313745382939892,0.14014722421859915,0.08051879782509411,3.3502494175441675,,,,,420.56942056570807,0.005761381290770545,0.01930206431365388,,,,,,,1.235900138002307,0.134072592828313,0.4687591082004925,3,196,1,exact,0.09321136738517614,1544,,,,,,0.00041312499888590537,61bd8503641265649b9a963f0461a423ceea3082
dv3-train-nested-001509,3,train,nested,1509,,,,3:0:2:1509,,train,3,673.4412785012856,,,2.3375690676428906,0.24879976303637372,0.23849177884619635,6.605039663604771,,,,,1157.9380330202782,0.009190170029237924,0.060701437558388305,,,,,,,1.1451724069435067,0.39711486040320526,2.6528505889378575,1,699,1,exact,0.2599280408133813,3159,,,,,,0.0008725000006961636,98eab55272aadd0a18056c8202c74dad51ec1172
dv3-train-nested-001510,3,train,nested,1510,,,,3:0:2:1510,,train,3,311.5267727197687,,,1.9971055755130798,5.283718324559438,0.17175596658930958,3.3859603100546685,,,,,29.52260627178506,0.009731149503278802,0.032949285989310226,,,,,,,14.859401576829944,0.2859924439555543,1.0097083515726115,1,285,1,exact,0.15872924320336634,66,,,,,,0.00025520800045342185,437b0378074adae9877772ef88d14fc665a86f4c
dv3-train-nested-001511,3,train,nested,1511,,,,3:0:2:1511,,train,3,262.26628077794004,,,3.0769884828647593,2.148876073998099,0.10881530306094028,6.308650081347812,,,,,39.664795218032545,0.006719218239916077,0.042389196695840264,,,,,,,7.7423811395433875,0.18118936465581634,1.1573316013453336,1,212,1,exact,0.18263500472067581,106,,,,,,0.00024774999837973155,d9f5eb91998c52f88c3b937a156dffd685ba4924
dv3-train-nested-001512,3,train,nested,1512,,,,3:0:2:1512,,train,3,153.126884118735,,,1.7785043070046789,0.7376146890330892,0.11113407921947226,8.426277267400614,,,,,116.72582910187464,0.008980934580246085,0.07567584489353966,,,,,,,2.272097085209966,0.18505038022187298,1.5702279730374205,1,156,1,exact,0.31483995846859525,236,,,,,,0.0002743339973676484,d66ce8371ada486071f541fe04fa95142e2b9600
dv3-train-nested-001513,3,train,nested,1513,,,,3:0:2:1513,,train,3,203.5016850602962,,,2.9681641872564226,0.4938913960432936,0.07345920088161972,7.412206092393845,,,,,138.81890949406338,0.005149465997181524,0.038168903236883836,,,,,,,2.6317458942036573,0.12231759285190423,0.9148570916916394,1,169,1,exact,0.16110172930454522,390,,,,,,0.00026770900149131194,a45bf1afd8febb38e9360f5a624ab4355be71c49
dv3-train-nested-001514,3,train,nested,1514,,,,3:0:2:1514,,train,3,393.7054381569762,,,2.6753378224444617,0.03526952920360817,0.2819444848853875,3.602081375037196,,,,,4172.469028907088,0.014209470572835024,0.05118366929954816,,,,,,,0.13420424365562106,0.4694683619636223,1.7550200665600935,3,409,1,exact,0.24319816522110224,13591,,,,,,0.002461583997501293,8466419de4500fa32cf8dce1263db8e8bfef12b0
dv3-train-nested-001515,3,train,nested,1515,,,,3:0:2:1515,,train,3,778.2163676196925,,,3.009110440453777,1.356520072745284,0.12435191062599349,3.2745764540651887,,,,,190.64964841904072,0.004457612186811921,0.01459679190828835,,,,,,,12.427835642161908,0.20705951319588156,0.7089438024682342,1,771,1,exact,0.07086364295021214,619,,,,,,0.0003460829975665547,e34696fa900aef90094564c83f4dda5e6fd70bea
