case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-train-poisson-005500,3,train,poisson,5500,,,,3:0:0:5500,,train,11,461.90224947048097,,,,,,,,,,,,,,,,,,,,0.0,,,1,455,1,exact,,,,,,,,4.579099913826212e-05,cbed684d141fb87c3f3db4441e06b64a4268be81
dv3-train-poisson-005501,3,train,poisson,5501,,,,3:0:0:5501,,train,11,620.7433844810181,,,,,,,,,,,,,,,,,,,,0.0,,,1,639,1,exact,,,,,,,,2.56669991358649e-05,adc71bbd38da63090bbadaeda8619c29bd14842c
dv3-train-poisson-005502,3,train,poisson,5502,,,,3:0:0:5502,,train,11,355.77344333457205,,,,,,,,,,,,,,,,,,,,0.0,,,1,389,1,exact,,,,,,,,1.8167000234825537e-05,9f396184dfffc5d549ddf4cbdea62ef933aeb6ea
dv3-train-poisson-005503,3,train,poisson,5503,,,,3:0:0:5503,,train,11,199.4077515901477,,,,,,,,,,,,,,,,,,,,0.0,,,1,226,1,exact,,,,,,,,1.383299968438223e-05,4ae1bf15987560729f207d1988a299d84cc3f335
dv3-train-poisson-005504,3,train,poisson,5504,,,,3:0:0:5504,,train,11,125.87077611958786,,,,,,,,,,,,,,,,,,,,0.0,,,1,109,1,exact,,,,,,,,1.0874999134102836e-05,9f58a9fa4fc8ddab83ef7156a6d703bb5ca38d59
dv3-train-poisson-005505,3,train,poisson,5505,,,,3:0:0:5505,,train,11,271.23942359182246,,,,,,,,,,,,,,,,,,,,0.0,,,1,277,1,exact,,,,,,,,1.3041997590335086e-05,ddf84cb75b12d9b629f31b376b745784cfbe8009
dv3-train-poisson-005506,3,train,poisson,5506,,,,3:0:0:5506,,train,11,259.02148610640455,,,,,,,,,,,,,,,,,,,,0.0,,,1,265,1,exact,,,,,,,,1.2332999176578596e-05,0d68e340c3208aa4996d3db6851a782a6a7f7f53
dv3-train-poisson-005507,3,train,poisson,5507,,,,3:0:0:5507,,train,11,791.5752421107599,,,,,,,,,,,,,,,,,,,,0.0,,,1,747,1,exact,,,,,,,,2.016700091189705e-05,c431a9bbf67f8a40a246f328a67ae18faf8bb1ba
dv3-train-poisson-005508,3,train,poisson,5508,,,,3:0:0:5508,,train,11,262.7493052094255,,,,,,,,,,,,,,,,,,,,0.0,,,1,253,1,exact,,,,,,,,1.2166001397417858e-05,c87a9e4914a0da893e0ef9e887b02378ba781676
dv3-train-poisson-005509,3,train,poisson,5509,,,,3:0:0:5509,,train,11,745.2663340241309,,,,,,,,,,,,,,,,,,,,0.0,,,1,771,1,exact,,,,,,,,1.9499999325489625e-05,93598c4b4a832579962864e180fccb8d264e2b36
