case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-train-lgcp-000000,3,train,lgcp,0,,,,3:0:5:0,,train,0,664.6804684776415,,,,,,,,,0.2112973394476866,0.9953645084749265,,,,,,,6.393657756925738,0.03860785668894339,256,1.2863557622079003,1.6408873514853255,,1,758,1,exact,,,2,6.89277745165401e-05,,,,0.011690000003000023,14128ae86f20bce06b252bc0b3998a69a70a3850
dv3-train-lgcp-000001,3,train,lgcp,1,,,,3:0:5:1,,train,0,678.196787236775,,,,,,,,,0.15519885230791658,1.5645005855521819,,,,,,,6.441838066334934,0.06007556527934602,256,1.4330973544075847,2.5916540014850717,,1,727,1,exact,,,2,1.830130987569005e-05,,,,0.012225958998897113,64cbc9e4bb1ac6a7e26723119306d87a099c60db
dv3-train-lgcp-000002,3,train,lgcp,2,,,,3:0:5:2,,train,0,690.5282217954463,,,,,,,,,1.3990131385525268,0.827289570933544,,,,,,,5.837950274273631,0.03148232754864377,512,8.606919861900185,1.2098673709716996,,1,669,1,exact,,,2,1.5896249005669177e-05,,,,0.057516540997312404,93b8868ee03b5fb90dbe33f30ac166a12c6a3b9b
dv3-train-lgcp-000003,3,train,lgcp,3,,,,3:0:5:3,,train,0,234.38975100638052,,,,,,,,,2.0140178014450565,0.9627555526061224,,,,,,,4.449976431648881,0.06288495047411721,256,8.91892292648269,1.3028094057816135,,1,201,1,exact,,,2,1.595677383101951e-05,,,,0.012913749997096602,8c82aa64de73511992ca090e4eb79dce9ae81875
dv3-train-lgcp-000004,3,train,lgcp,4,,,,3:0:5:4,,train,0,113.13493925274416,,,,,,,,,1.0941798102739955,1.1161529266044912,,,,,,,4.181491353821297,0.10493619880867902,256,3.134671942921064,1.6890821274296803,,2,101,1,exact,,,2,3.435885520453401e-06,,,,0.014231291999749374,7ef96848d59d9bbb2db1c95be10a966b672cb4e1
dv3-train-lgcp-000005,3,train,lgcp,5,,,,3:0:5:5,,train,0,713.1581216673143,,,,,,,,,0.40517069748734236,1.7630519933676585,,,,,,,6.367117816602775,0.0660194958917857,256,4.398705817262547,2.856726492809495,,1,655,1,exact,,,2,1.3790436781318863e-05,,,,0.013101541997457389,5e420db9936c6c858f24fabff8e20bdbe89f6b59
dv3-train-lgcp-000006,3,train,lgcp,6,,,,3:0:5:6,,train,0,221.68956106267092,,,,,,,,,0.16932875699058503,0.5215051602948758,,,,,,,5.316613651148623,0.03502563264292933,256,0.31013288861221633,0.8628442321962138,,1,250,1,exact,,,2,9.230085622354025e-05,,,,0.012480624998715939,36da1cf11f312b72af2d74ffcecb301ddf9980b0
dv3-train-lgcp-000007,3,train,lgcp,7,,,,3:0:5:7,,train,0,226.4196698421917,,,,,,,,,0.5613299774338907,1.1972731555494127,,,,,,,5.141725234766562,0.07956758353700372,256,2.4089944348402224,1.9120661173816278,,1,241,1,exact,,,2,7.878104173232305e-06,,,,0.015661207999073667,3cbb3da4f0d6dd8d0bcae80c4a3d3b7377478caf
dv3-train-lgcp-000008,3,train,lgcp,8,,,,3:0:5:8,,train,0,134.15649133521137,,,,,,,,,0.05521197587546224,1.3401103611140996,,,,,,,4.871400976396914,0.11570036239923806,256,0.17421939661715102,2.2388502110986495,,1,135,1,exact,,,2,2.56471659736579e-06,,,,0.010986500001308741,aa60d473be277b23407bbf97434ff1e083b25afa
dv3-train-lgcp-000009,3,train,lgcp,9,,,,3:0:5:9,,train,0,188.46211006119654,,,,,,,,,0.6224271694384778,1.8768812164909179,,,,,,,4.927683394331175,0.13671770620617418,256,3.509769840169448,2.9800148894020744,,1,154,1,exact,,,2,1.5579677960625144e-06,,,,0.018533416998252505,df6a2e45b2984e01e6e8cfabab3484da7535f96b
dv3-train-lgcp-000010,3,train,lgcp,10,,,,3:0:5:10,,train,0,460.64344984452623,,,,,,,,,0.4954586636983779,0.8990294905261995,,,,,,,5.884894984228831,0.04188817969433347,256,2.324577068811125,1.4446660411099155,,1,511,1,exact,,,2,5.397428320251526e-05,,,,0.011097209000581643,9c285eccf4482da0ec3ecca4d07f148e7b20c88c
dv3-train-lgcp-000011,3,train,lgcp,11,,,,3:0:5:11,,train,0,357.91341235488653,,,,,,,,,0.8413078914479105,1.5296989690426952,,,,,,,5.459637146492222,0.08085688148786835,256,5.826648639512797,2.376918008006569,,1,359,1,exact,,,2,7.507288400196307e-06,,,,0.013642500001878943,2467e626e1df10a0b555ac386ac54c7c6de875c9
dv3-train-lgcp-000012,3,train,lgcp,12,,,,3:0:5:12,,train,0,510.24719953348523,,,,,,,,,2.6583443507382754,0.8690352858000567,,,,,,,4.905723137885344,0.03847220655294387,1024,17.842717217519315,1.0687363906000777,,1,570,1,exact,,,2,1.0890386048741265e-06,,,,0.2676247080016765,ff563b32a4d27fc1fb74096f2d44fc43f2a0117a
dv3-train-lgcp-000013,3,train,lgcp,13,,,,3:0:5:13,,train,0,757.511778369405,,,,,,,,,0.5472254048229639,0.5271339238601646,,,,,,,6.356426383853672,0.01915253529210513,256,2.037611699791049,0.8429637810661876,,1,735,1,exact,,,2,0.0005634864538100524,,,,0.012427792000380578,244ac44cc91e0cb2e3c98a3e9cc00cdb44da6efc
dv3-train-lgcp-000014,3,train,lgcp,14,,,,3:0:5:14,,train,0,431.1434545466331,,,,,,,,,2.3805824871821346,1.7063063594853298,,,,,,,4.876149632308827,0.0821762106182254,512,25.37317277542089,2.1909682156196184,,1,297,1,exact,,,2,8.940288479783029e-07,,,,0.058493250002356945,0bc63f7c41e1ff19f857125099e4dc4c0038e0ad
dv3-train-lgcp-000015,3,train,lgcp,15,,,,3:0:5:15,,train,0,268.2840881851742,,,,,,,,,0.10907944994540603,1.8774624848057797,,,,,,,5.537506724644198,0.11462353814992328,256,0.6981123717553498,3.1223541567363964,,1,253,1,exact,,,2,2.6375006313541504e-06,,,,0.013661834000231465,483c2bfdc8bd3d1d4465909269fdbfa13334f9dd
dv3-train-lgcp-000016,3,train,lgcp,16,,,,3:0:5:16,,train,0,109.53815092391241,,,,,,,,,0.11634583364851508,0.7764953887042244,,,,,,,4.638099982015577,0.07419184619547067,256,0.20712192952819192,1.290570230403427,,1,98,1,exact,,,2,9.717338973143436e-06,,,,0.01569124999878113,b862c38c82ea45ee09c6b830f6e67158ac999e0a
dv3-train-lgcp-000017,3,train,lgcp,17,,,,3:0:5:17,,train,0,799.776713783418,,,,,,,,,1.0763292544837897,1.600042629054254,,,,,,,6.146167953697482,0.056577945882777335,256,12.538894369080275,2.4260129458792568,,1,682,1,exact,,,2,2.190889725979103e-05,,,,0.013569165999797406,f4b73feae32a010b94ca3940b7b9562fe54aabbb
dv3-train-lgcp-000018,3,train,lgcp,18,,,,3:0:5:18,,train,0,136.59107425182364,,,,,,,,,1.173244257318676,0.9579417076057593,,,,,,,4.330369474115688,0.08196490162918418,256,3.23939532068535,1.4372243623888097,,1,110,1,exact,,,2,7.206987761909287e-06,,,,0.015895541000645608,5bf80589513dcbf2fa87c696025f92c437e77dfc
dv3-train-lgcp-000019,3,train,lgcp,19,,,,3:0:5:19,,train,0,248.93677010893094,,,,,,,,,2.156637386917686,1.8714887147113155,,,,,,,4.438880235453338,0.11861583964049434,256,17.97731061237532,2.4827965656174307,,1,381,1,exact,,,2,2.3806970121030205e-06,,,,0.012101958000130253,91ff9b3f98979859edea9e99505098fc8bb67b84
dv3-train-lgcp-000020,3,train,lgcp,20,,,,3:0:5:20,,train,0,551.497749600924,,,,,,,,,0.6004918212274093,1.2399584746721046,,,,,,,6.012391847565496,0.05280016368388992,256,4.260916838573201,1.9728802896751423,,1,682,1,exact,,,2,2.6954933814426294e-05,,,,0.012540584000817034,e91c6816e1f2ff0bd7025d018a87affef9bcc588
dv3-train-lgcp-000021,3,train,lgcp,21,,,,3:0:5:21,,train,0,512.9551335991467,,,,,,,,,0.05050087304315665,0.6695602431013373,,,,,,,6.214937945953382,0.029563099705665355,256,0.18166545562233447,1.1190398648422906,,1,479,1,exact,,,2,0.00015345479542546995,,,,0.015096333001565654,a28101b21f5e597b517a8c34e65cfd84a81a9fe3
dv3-train-lgcp-000022,3,train,lgcp,22,,,,3:0:5:22,,train,0,472.85380397661675,,,,,,,,,2.238391890990028,1.4091232537724707,,,,,,,5.03959031271921,0.06480157152729281,512,20.81727998011798,1.8476613615985147,,1,480,1,exact,,,2,1.8231066557695149e-06,,,,0.061296667001442984,1fd435c02cf42914d31879c57dc05ee8ecacb888
dv3-train-lgcp-000023,3,train,lgcp,23,,,,3:0:5:23,,train,0,128.45735299939912,,,,,,,,,1.017911258064852,1.0392251237580739,,,,,,,4.3466413369442485,0.09169172709558464,256,2.8699186665954026,1.5855363561484268,,1,152,1,exact,,,2,5.148615776381845e-06,,,,0.0173615419989801,4765d97455f48bffbdb9beb81290a2dafe2ce89d
dv3-train-lgcp-000024,3,train,lgcp,24,,,,3:0:5:24,,train,0,108.85119877017068,,,,,,,,,0.054984967949399235,0.6072133750828846,,,,,,,4.662489316692257,0.05820023269821099,256,0.07710808347925827,1.0144579903302113,,1,111,1,exact,,,2,2.0127718489589797e-05,,,,0.017345708001812454,9a7fbb03c5e53532d6a76777fc4d06da55c1e7c2
dv3-train-lgcp-000025,3,train,lgcp,25,,,,3:0:5:25,,train,0,108.40658230609101,,,,,,,,,0.9576204238075579,0.8452071098809377,,,,,,,4.207078597639151,0.08117743325834377,256,2.0501064203236528,1.2977178646022518,,1,140,1,exact,,,2,7.418722146752144e-06,,,,0.016098292002425296,16b89299edb7301c1d25fd242cd16f9957e1d54f
dv3-train-lgcp-000026,3,train,lgcp,26,,,,3:0:5:26,,train,0,339.5903423482623,,,,,,,,,0.3446849041183225,0.9598861440148296,,,,,,,5.655397563658761,0.05208852471893833,256,1.4444202436871074,1.5638614413632004,,1,297,1,exact,,,2,2.8074631844750768e-05,,,,0.014022124996699858,946f44c6ac63bdbda6f95f4344f4faced1905895
dv3-train-lgcp-000027,3,train,lgcp,27,,,,3:0:5:27,,train,0,346.1696818709246,,,,,,,,,0.5754986113022807,1.778986570580457,,,,,,,5.559179759226458,0.09561546801983328,256,4.284418506514305,2.8372618445997917,,1,295,1,exact,,,2,4.540714849997414e-06,,,,0.015880167000432266,48de8aa12a356690d51c24e4b1b5f7258d0ae211
dv3-train-lgcp-000028,3,train,lgcp,28,,,,3:0:5:28,,train,0,178.0283076610953,,,,,,,,,0.22849274795377006,1.1424501216212302,,,,,,,5.06769619547489,0.08562344877013904,256,0.7732499893367301,1.8805424285337435,,1,163,1,exact,,,2,6.322263264364199e-06,,,,0.01037670900041121,d256eec580626d8fb7654d579c054b992177d8a8
dv3-train-lgcp-000029,3,train,lgcp,29,,,,3:0:5:29,,train,0,211.1432650529165,,,,,,,,,0.1336107526919589,0.6489882417583673,,,,,,,5.285731508020018,0.044663032984548136,256,0.2926028844748306,1.077061925969549,,1,213,1,exact,,,2,4.452908159118384e-05,,,,0.015261583001120016,70b78e2d99834fd63dcc6adf1d53d620e01556e4
dv3-train-lgcp-000030,3,train,lgcp,30,,,,3:0:5:30,,train,0,336.38228042223176,,,,,,,,,0.3779628529073169,1.5612122777115403,,,,,,,5.629266826126507,0.0851227024046175,256,2.428034060376608,2.535934826150963,,1,361,1,exact,,,2,6.434466391603531e-06,,,,0.011090290998254204,cadf07e55c855843753801dd0b2c351802359d86
dv3-train-lgcp-000031,3,train,lgcp,31,,,,3:0:5:31,,train,0,580.5617598426845,,,,,,,,,0.7434883543352478,1.5471315436522415,,,,,,,5.9922520090824305,0.0642100528754495,256,6.758502174045537,2.427654719287377,,1,565,1,exact,,,2,1.4989262785144119e-05,,,,0.011252332998992642,ba425bd9702a65376d411a813aa1bf1a29b34964
