case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries,n,pattern_tries,sampler,buffer,n_parents,pad_P,min_eig,cftp_start,mh_steps,burnin,wall_s,sha1
dv3-train-nested-000000,3,train,nested,0,,,,3:0:2:0,,train,0,274.62415815079675,,,5.190683471746533,0.05924782561159266,0.06549480810284537,4.877843840798693,,,,,892.9800898229003,0.003952187176619805,0.019278151877158492,,,,,,,0.7824941135218253,0.10905600898582492,0.5430218413740158,1,251,1,exact,0.0863940139037264,4975,,,,,,0.0014557909998984542,f418be1f0ea0c890d626f112d276567ad9d145d6
dv3-train-nested-000001,3,train,nested,1,,,,3:0:2:1,,train,0,429.57482801310647,,,5.087678023340876,0.9330083496055859,0.07343556218268951,9.553670463074905,,,,,90.49689438967096,0.003543129382354422,0.03384989052705227,,,,,,,6.252487815781668,0.12227823183631199,1.1745880405518208,1,428,1,exact,0.13906525748405596,484,,,,,,0.0004412079979374539,79acec7bc2f323d81d191e044e3f35ec3176c1d3
dv3-train-nested-000002,3,train,nested,2,,,,3:0:2:2,,train,0,154.60012267277494,,,2.450123571563439,0.13394563038461277,0.15369526922324422,5.91812965811318,,,,,471.07851269577566,0.012361056255742981,0.073154333632718,,,,,,,0.437362018552894,0.2559194102098715,1.536033729088626,3,134,1,exact,0.3180331447553564,1368,,,,,,0.00035841700082528405,48dd163e2a2149bc2c9d9b76e68a5eaa49de8d2c
dv3-train-nested-000003,3,train,nested,3,,,,3:0:2:3,,train,0,246.55487507269967,,,1.5810926193362862,1.7320941329362707,0.2537733175589263,3.9711022133805844,,,,,90.02949045992077,0.01616177886273772,0.0641800758139853,,,,,,,4.047734166034809,0.4225602914449416,1.7304167837318842,1,306,1,exact,0.29879268201481746,186,,,,,,0.00015949999942677096,8fecf204ddfa1bd5fd80f23c86f79813d7dc7be0
dv3-train-nested-000004,3,train,nested,4,,,,3:0:2:4,,train,0,135.99201089111705,,,1.6997543769820251,4.36770477828435,0.12623860031555653,5.927348593594258,,,,,18.31782693817226,0.010825188631364814,0.06416466660951278,,,,,,,7.555568162229409,0.21020105759762037,1.2635419926186746,2,194,1,exact,0.2788885078827588,50,,,,,,0.00011825000183307566,3edc04323f6b3836cd2bfe71dded9df8979061d6
dv3-train-nested-000005,3,train,nested,5,,,,3:0:2:5,,train,0,146.75824502386155,,,1.747169335084262,0.9035124994553623,0.13502457263948694,5.597741380359544,,,,,92.96796954340024,0.01114580797435178,0.06239135051557035,,,,,,,2.4314927671847464,0.22483066114120473,1.278468444251885,1,188,1,exact,0.27348590471758755,207,,,,,,0.00014379200001712888,7ddfed90611962cc24e320e4a8cdaf64d5fd9b44
dv3-train-nested-000006,3,train,nested,6,,,,3:0:2:6,,train,0,529.5634566900823,,,3.3162624649623025,0.6502761674773161,0.2359287199877419,3.10539712077321,,,,,245.56771857133558,0.010252311836649661,0.031837499658800957,,,,,,,3.675613816246295,0.3928470874606556,1.2816386385881577,1,530,1,exact,0.15653270282130285,917,,,,,,0.00021312500030035153,49ddb3321280b988111e52e67444d4d4ba5f7cb9
dv3-train-nested-000007,3,train,nested,7,,,,3:0:2:7,,train,0,241.15456872894066,,,2.978331887181173,2.029795185109948,0.06719648166793697,6.583015568378118,,,,,39.89056475437774,0.00432711848708984,0.02848548836672919,,,,,,,8.977070109203968,0.11188948133242925,0.7450200748640342,2,250,1,exact,0.12203062582012902,114,,,,,,0.00011658299990813248,34bc375142c71471dd96662ed004d188037c5d78
dv3-train-nested-000008,3,train,nested,8,,,,3:0:2:8,,train,0,318.37389990863363,,,4.1197841316612305,0.044334674669726,0.2830132172965436,5.805760579688124,,,,,1743.088633557169,0.015861271160046965,0.0920867428447448,,,,,,,0.13406165763636346,0.47124791815762573,2.77624047156257,1,331,1,exact,0.40146044365602124,8920,,,,,,0.0013604579980892595,d6d17ba7089169630a2bfaf5b3e6272094c9bb27
dv3-train-nested-000009,3,train,nested,9,,,,3:0:2:9,,train,0,173.26817834678647,,,1.7700631176059072,4.760296900944455,0.10770906675856194,7.609959159173004,,,,,20.56345172653973,0.00818262895310752,0.06226947214781478,,,,,,,9.501390556890206,0.17934736038666607,1.376559379666628,2,237,1,exact,0.26201252542932035,53,,,,,,0.00019237500237068161,819c1a4b8dd8a09f28657770cc2e2c6f6ada3f6b
