family,model,val,all,regime 0.5,regime 0.9,kappa,mu,sigma,mu1,mu2,sigma1,sigma2,nbar,s,R,lam_p,rho,k
thomas,hgb_classical,0.7117855139047577,0.7072026448927754,0.6033916420318535,0.4501229847493597,0.7942,0.7906,0.5368,,,,,,,,,,
thomas,hgb_ph,0.7309476784790071,0.7299215103708406,0.6396253464719982,0.5027854958888746,0.8176,0.8122,0.5599,,,,,,,,,,
thomas,hgb_classical_ph,0.7118601024288355,0.7060725384899759,0.5989698717855165,0.4469044554957801,0.7934,0.79,0.5348,,,,,,,,,,
thomas,nn_curves,0.7045551415835334,0.703573663551342,0.6144829355669689,0.46465859863098213,0.7866,0.7843,0.5398,,,,,,,,,,
thomas,perslay_dtm10,0.726707736395045,0.7256673726502454,0.6420507551678395,0.5078497423963525,0.8101,0.8088,0.5581,,,,,,,,,,
thomas,perslay_alpha,0.7382392697907697,0.7408974550067216,0.659512644379633,0.5256553464374641,0.8216,0.8207,0.5804,,,,,,,,,,
nested,hgb_classical,0.6378723090904859,0.6278619954724722,0.6155237377938538,0.5588438422189616,0.7489,,,0.8751,0.7262,0.4567,0.3324,,,,,,
nested,hgb_ph,0.6525234509157314,0.6454839409947374,0.6342496429545091,0.583709977282621,0.7686,,,0.8883,0.7526,0.4687,0.3492,,,,,,
nested,hgb_classical_ph,0.6356595330855578,0.6238533210010472,0.6113543231922167,0.5530953801704624,0.7457,,,0.8716,0.7144,0.456,0.3317,,,,,,
nested,nn_curves,0.6181717071952184,0.611910134286573,0.599501362602467,0.5384488238058985,0.739,,,0.85,0.7033,0.4424,0.325,,,,,,
nested,perslay_dtm10,0.6485863246607816,0.6422555312724951,0.6302326690367576,0.5804515470165714,0.7618,,,0.8797,0.7434,0.4703,0.3561,,,,,,
nested,perslay_alpha,0.6562586624588703,0.650840393821134,0.6386114289399296,0.5936195370842974,0.7693,,,0.8869,0.7649,0.4727,0.3604,,,,,,
lgcp,hgb_classical,0.4325085636480077,0.43578312937476205,0.4114516021763152,0.33041415774099875,,,,,,,0.4724,0.1656,0.6693,,,,
lgcp,hgb_ph,0.44512696139308056,0.44963487347327735,0.4272480904082416,0.35177050449870917,,,,,,,0.4794,0.1658,0.7037,,,,
lgcp,hgb_classical_ph,0.43180486825967995,0.4358395144027513,0.4115966814543297,0.33026332543060016,,,,,,,0.4721,0.1654,0.67,,,,
lgcp,nn_curves,0.4347486660165181,0.43850020739246,0.4122854552732053,0.33517561350119257,,,,,,,0.4726,0.1749,0.6681,,,,
lgcp,perslay_dtm10,0.44961088506359137,0.45321030628460623,0.43354809248035614,0.3651572009162825,,,,,,,0.4851,0.1765,0.6981,,,,
lgcp,perslay_alpha,0.4616949131657382,0.463525211581709,0.44437781587746467,0.376902340140858,,,,,,,0.4817,0.1763,0.7325,,,,
matern2,hgb_classical,0.12995038149805022,0.1313538528736052,0.11592130621271976,0.10847389835662052,,,,,,,,,,0.1658,0.097,,
matern2,hgb_ph,0.13861104226157836,0.139671419777656,0.12422764036522807,0.11620002042648758,,,,,,,,,,0.1826,0.0968,,
matern2,hgb_classical_ph,0.12841207590477133,0.13040833243949823,0.11458338864026368,0.10681577442407622,,,,,,,,,,0.1647,0.0961,,
matern2,nn_curves,0.12884235938161423,0.1341704802363935,0.11630107847371542,0.1085416329992015,,,,,,,,,,0.1614,0.1069,,
matern2,perslay_dtm10,0.18023581887897266,0.18117216126437463,0.16334397060477918,0.15362323657285515,,,,,,,,,,0.253,0.1093,,
matern2,perslay_alpha,0.17680964874302751,0.17834900476803697,0.16171023664057693,0.15620023379207854,,,,,,,,,,0.2487,0.108,,
ring,hgb_classical,0.6543975032189958,0.648464818958467,0.6073210536815449,0.51789880053463,0.7775,0.777,0.5265,,,,,,,,,0.5129,
ring,hgb_ph,0.6590943169770012,0.6549442070793464,0.6124022142797716,0.5241902599356967,0.7788,0.7785,0.5389,,,,,,,,,0.5237,
ring,hgb_classical_ph,0.6465146395026182,0.6419255183307284,0.5963246433786781,0.4982156561697643,0.7699,0.7652,0.5264,,,,,,,,,0.5062,
ring,nn_curves,0.6491124207171566,0.6449807337957267,0.6076002908243586,0.5259204426442663,0.7662,0.7648,0.531,,,,,,,,,0.518,
ring,perslay_dtm10,0.6589557461200826,0.6582446700507107,0.6182928747112595,0.5445641030295553,0.7793,0.7784,0.5472,,,,,,,,,0.5281,
ring,perslay_alpha,0.6618516132079604,0.6550126755643813,0.6090626453931037,0.5266949749278602,0.772,0.7702,0.5469,,,,,,,,,0.5309,
matern1,hgb_classical,0.1549448066287606,0.15695748884048805,0.14448879803783957,0.1307719489721572,,,,,,,,,,0.2085,0.1054,,
matern1,hgb_ph,0.16508455740058436,0.16823017252576242,0.15664529240548627,0.14206888958229166,,,,,,,,,,0.231,0.1055,,
