classifier,estimators,accuracy all,accuracy regime 0.5,accuracy regime 0.9,poisson identified,poisson rmse/sd,thomas identified,thomas rmse/sd,nested identified,nested rmse/sd,lgcp identified,lgcp rmse/sd,matern2 identified,matern2 rmse/sd,ring identified,ring rmse/sd,matern1 identified,matern1 rmse/sd,cell identified,cell rmse/sd
hgb_classical,best,0.5293176770210266,0.5716116428375244,0.6399405002593994,0.7328333333333333,0.0893183812565686,0.15825,0.6061488914346026,0.54475,0.5311848444498615,0.5373333333333333,0.36723991892932367,0.31404166666666666,0.10700015590312043,0.2673333333333333,0.4854365771160386,0.7815,0.14823783006935015,0.8985,0.1195880582253573
hgb_classical,hgb_classical,0.5293176770210266,0.5716116428375244,0.6399405002593994,0.7328333333333333,0.0893183812565686,0.15825,0.6027923700486572,0.54475,0.5499034852309521,0.5373333333333333,0.3671521329620977,0.31404166666666666,0.10870551439909582,0.2673333333333333,0.5087735680436641,0.7815,0.15271906180767203,0.8985,0.14158739578100848
hgb_ph,best,0.5149322748184204,0.555749237537384,0.6258994936943054,0.7154583333333333,0.08968688331095964,0.1405,0.6173917951365037,0.5212916666666667,0.5235537913927273,0.5319583333333333,0.3640295641190756,0.3284166666666667,0.10888448045879615,0.26316666666666666,0.48584593233154805,0.7357916666666666,0.14683170254321412,0.882875,0.11987918817045229
hgb_ph,hgb_classical,0.5149322748184204,0.555749237537384,0.6258994936943054,0.7154583333333333,0.08968688331095964,0.1405,0.6178422870205834,0.5212916666666667,0.5461018273550773,0.5319583333333333,0.3633920241913649,0.3284166666666667,0.11038455383897011,0.26316666666666666,0.5146134107230416,0.7357916666666666,0.15192799782670774,0.882875,0.14239421488951465
hgb_classical_ph,best,0.5339114665985107,0.576785147190094,0.6462180018424988,0.7285833333333334,0.08950771394925024,0.165625,0.6121630069325849,0.545875,0.5305203146211321,0.539625,0.3647496378789226,0.33579166666666665,0.11374828957605967,0.28041666666666665,0.4918032689901322,0.759,0.14800732238590925,0.916375,0.11955743136187438
hgb_classical_ph,hgb_classical,0.5339114665985107,0.576785147190094,0.6462180018424988,0.7285833333333334,0.08950771394925024,0.165625,0.6102203965266036,0.545875,0.5509965444474682,0.539625,0.364398147489537,0.33579166666666665,0.1154513472806172,0.28041666666666665,0.5178160253973341,0.759,0.15265095623036484,0.916375,0.14170680964776405
linear_classical,best,0.49113017320632935,0.5303182601928711,0.5874850749969482,0.71175,0.08767147445250491,0.19029166666666666,0.6992769297022664,0.40941666666666665,0.4929972151192281,0.5324166666666666,0.37354636290931476,0.315125,0.10708542731734141,0.19920833333333332,0.4393970247393149,0.7724166666666666,0.14775519045808733,0.7984166666666667,0.12008271564785031
linear_classical,hgb_classical,0.49113017320632935,0.5303182601928711,0.5874850749969482,0.71175,0.08767147445250491,0.19029166666666666,0.6965109335333421,0.40941666666666665,0.5179183181895151,0.5324166666666666,0.3730403977877444,0.315125,0.10920314974080278,0.19920833333333332,0.4635496257620198,0.7724166666666666,0.15254291046711185,0.7984166666666667,0.14359731372858137
nn_curves,best,0.5325208306312561,0.5753328204154968,0.646556556224823,0.785,0.09151753297567025,0.13129166666666667,0.5819364716946153,0.5933333333333334,0.5363329808935065,0.5119166666666667,0.3590248823534421,0.25175,0.07878768482908649,0.23691666666666666,0.44561986840705914,0.86275,0.15127741090643976,0.8872083333333334,0.1197072432783228
nn_curves,hgb_classical,0.5325208306312561,0.5753328204154968,0.646556556224823,0.785,0.09151753297567025,0.13129166666666667,0.578970301876236,0.5933333333333334,0.5522782638492533,0.5119166666666667,0.3590190837051808,0.25175,0.08086224761378658,0.23691666666666666,0.4682658731967238,0.86275,0.15613030502781056,0.8872083333333334,0.14181069233708488
perslay_dtm10,best,0.5101302266120911,0.549248993396759,0.6178953051567078,0.7305416666666666,0.09069840915263257,0.11270833333333333,0.5890666059054958,0.5396666666666666,0.5333393763306604,0.5469583333333333,0.3650081357977942,0.24225,0.08529931058738381,0.20954166666666665,0.4552958710232368,0.8371666666666666,0.14898216195950711,0.8622083333333334,0.11977566259117495
perslay_dtm10,hgb_classical,0.5101302266120911,0.549248993396759,0.6178953051567078,0.7305416666666666,0.09069840915263257,0.11270833333333333,0.5846941501974733,0.5396666666666666,0.5531625878921987,0.5469583333333333,0.3643350495096307,0.24225,0.0874798436811766,0.20954166666666665,0.4820477829106231,0.8371666666666666,0.15386636325818998,0.8622083333333334,0.1424264157267563
perslay_alpha,best,0.5028645992279053,0.5416998267173767,0.615199625492096,0.7871666666666667,0.09337063343849851,0.14329166666666668,0.6822936829251693,0.5326666666666666,0.5267994541973823,0.5040416666666667,0.37160662567736286,0.22420833333333334,0.07940401052491805,0.21454166666666666,0.4219158990980416,0.7504583333333333,0.13718332599514255,0.8665416666666667,0.1203414838344604
perslay_alpha,hgb_classical,0.5028645992279053,0.5416998267173767,0.615199625492096,0.7871666666666667,0.09337063343849851,0.14329166666666668,0.6761862576116776,0.5326666666666666,0.5483118430332552,0.5040416666666667,0.3707898191073135,0.22420833333333334,0.08184997415542808,0.21454166666666666,0.45232758633682957,0.7504583333333333,0.14209329252855013,0.8665416666666667,0.14285466236079025
