family,model,val,all,regime 0.5,regime 0.9,kappa,mu,sigma,mu1,mu2,sigma1,sigma2,nbar,s,R,lam_p,rho,k
thomas,hgb_classical,1.807933581739853,0.8370548402766308,0.7344200211998991,0.5809053308295377,0.9641,0.8817,0.6654,,,,,,,,,,
thomas,linear_classical,1.442611341195026,0.8575431454427962,0.8073485200229219,0.7255757104752565,0.9125,0.8887,0.7714,,,,,,,,,,
nested,hgb_classical,0.7882415861450378,0.7861721140280389,0.7843923423887892,0.7371817781483325,0.9309,,,1.0794,0.8496,0.5985,0.4725,,,,,,
nested,linear_classical,0.8125125854408981,0.7912388769101633,0.7915821622730241,0.7823531071821046,0.9228,,,1.1045,0.8757,0.5749,0.4783,,,,,,
lgcp,hgb_classical,0.46413815638491807,0.5261115183726628,0.5230104049835744,0.3762835622156486,,,,,,,0.5402,0.1919,0.8462,,,,
lgcp,linear_classical,0.49653391321477375,0.6024219179296328,0.5982964596709691,0.6184444671624644,,,,,,,0.6468,0.1938,0.9667,,,,
matern2,hgb_classical,0.2635306551636274,0.21707333351901786,0.21707333351901786,0.219299981184623,,,,,,,,,,0.2757,0.1585,,
matern2,linear_classical,0.3268177110962755,0.15553098444970875,0.15553098444970875,0.14462624963755913,,,,,,,,,,0.2245,0.0865,,
ring,hgb_classical,1.1024482531553907,0.7148099181487444,0.6650028130154544,0.5724828620517398,0.9294,0.8093,0.6058,,,,,,,,,0.5148,
ring,linear_classical,1.1373870375063935,0.7606747917087646,0.7385970136976759,0.7546432198852092,0.883,0.8708,0.6558,,,,,,,,,0.6331,
matern1,hgb_classical,0.5254093270408418,0.24139121754669035,0.24030523491643785,0.22613635384546635,,,,,,,,,,0.3392,0.1435,,
matern1,linear_classical,0.44548644057626957,0.2647928899498088,0.25711260889525295,0.24164571623817344,,,,,,,,,,0.3805,0.149,,
cell,hgb_classical,0.30397822386588325,0.1825780541656089,0.1825780541656089,0.1825780541656089,,,,,,,,0.1032,,,,,0.262
cell,linear_classical,0.35668137826179347,0.1782559844126697,0.1782559844126697,0.1782559844126697,,,,,,,,0.1128,,,,,0.2437
