run,family,coordinate,boundary_tau_0.5,routed_own
default,thomas,omega,1.1856232138201999,0.5445
default,nested,omega_inner,1.151031993768987,0.817
default,matern2,zeta,1.089081025473298,0.8735
default,lgcp,zeta,2.165725985027326,0.69
logreg,thomas,omega,1.3353119678843788,0.5375
logreg,nested,omega_inner,1.1501155628427115,0.813
logreg,matern2,zeta,0.9296144280579376,0.8945
logreg,lgcp,zeta,2.4795740424824992,0.6775
nn_curves,thomas,omega,1.1856232138201999,0.5265
nn_curves,nested,omega_inner,1.151031993768987,0.8085
nn_curves,matern2,zeta,1.112564970221359,0.876
nn_curves,lgcp,zeta,2.407714292824209,0.669
