path,task,filtration,dims,grid,perslay,seed,families,n_train,best_epoch,epochs_run,best_val_loss,test_loss,test_accuracy,git_commit
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_1,classify,,"0,1",sqrtn_u2,False,1,poisson|thomas|nested|matern2|lgcp,370000,71,101,0.900545125579834,0.8957478217601776,0.6042333333333333,e4d4b28b1dbda59cd2dd3ebc8d71d5fb7646e2d8
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_10,classify,,"0,1",sqrtn_u2,False,10,poisson|thomas|nested|matern2|lgcp,370000,74,104,0.8995298354148865,0.8945905484517416,0.604925,58dbc847a07cba3a7d4b71799e949d9d3a712066
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_2,classify,,"0,1",sqrtn_u2,False,2,poisson|thomas|nested|matern2|lgcp,370000,44,74,0.8973652978897094,0.8950879739443461,0.603625,e4d4b28b1dbda59cd2dd3ebc8d71d5fb7646e2d8
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_3,classify,,"0,1",sqrtn_u2,False,3,poisson|thomas|nested|matern2|lgcp,370000,94,124,0.9003688812255859,0.895742546637853,0.6037916666666666,4840c39fe4c0c34bd8da50073e1688a0d46acc45
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_4,classify,,"0,1",sqrtn_u2,False,4,poisson|thomas|nested|matern2|lgcp,370000,59,89,0.8991917036056518,0.8946611839930216,0.6045833333333334,4840c39fe4c0c34bd8da50073e1688a0d46acc45
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_5,classify,,"0,1",sqrtn_u2,False,5,poisson|thomas|nested|matern2|lgcp,370000,62,92,0.902205293750763,0.8974537709077199,0.60175,1c20c82f79981904469779d1e6f7729f587c5947
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_6,classify,,"0,1",sqrtn_u2,False,6,poisson|thomas|nested|matern2|lgcp,370000,30,60,0.9026480030059815,0.8975110849221547,0.6042583333333333,1c20c82f79981904469779d1e6f7729f587c5947
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_7,classify,,"0,1",sqrtn_u2,False,7,poisson|thomas|nested|matern2|lgcp,370000,40,70,0.9031923641204834,0.8994928480307262,0.6044083333333333,1c20c82f79981904469779d1e6f7729f587c5947
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_8,classify,,"0,1",sqrtn_u2,False,8,poisson|thomas|nested|matern2|lgcp,370000,33,63,0.9020849500656128,0.8983379487196604,0.603,1c20c82f79981904469779d1e6f7729f587c5947
results/classify/all/L+F+G+J/fixed+sqrtn_u2+sqrtn_u2+sqrtn_u2/seed_9,classify,,"0,1",sqrtn_u2,False,9,poisson|thomas|nested|matern2|lgcp,370000,56,86,0.8973059990882873,0.892551749531428,0.6058916666666667,1c20c82f79981904469779d1e6f7729f587c5947
results/classify/all/L+F+G+J/fixed/seed_1,classify,,"0,1",sqrtn_u2,False,1,poisson|thomas|nested|matern2|lgcp,370000,58,88,0.9027958707809448,0.8981410646279653,0.6031583333333334,e4d4b28b1dbda59cd2dd3ebc8d71d5fb7646e2d8
results/classify/all/L+F+G+J/fixed/seed_10,classify,,"0,1",sqrtn_u2,False,10,poisson|thomas|nested|matern2|lgcp,370000,30,60,0.9033582468986511,0.8976078549226125,0.604425,4840c39fe4c0c34bd8da50073e1688a0d46acc45
results/classify/all/L+F+G+J/fixed/seed_2,classify,,"0,1",sqrtn_u2,False,2,poisson|thomas|nested|matern2|lgcp,370000,25,55,0.9032180776596069,0.9003728077888489,0.6031083333333334,e4d4b28b1dbda59cd2dd3ebc8d71d5fb7646e2d8
results/classify/all/L+F+G+J/fixed/seed_3,classify,,"0,1",sqrtn_u2,False,3,poisson|thomas|nested|matern2|lgcp,370000,53,83,0.9001295625686645,0.8963970025062561,0.6044916666666666,e4d4b28b1dbda59cd2dd3ebc8d71d5fb7646e2d8
results/classify/all/L+F+G+J/fixed/seed_4,classify,,"0,1",sqrtn_u2,False,4,poisson|thomas|nested|matern2|lgcp,370000,73,103,0.9010249172210694,0.8976289181709289,0.6042833333333333,e4d4b28b1dbda59cd2dd3ebc8d71d5fb7646e2d8
results/classify/all/L+F+G+J/fixed/seed_5,classify,,"0,1",sqrtn_u2,False,5,poisson|thomas|nested|matern2|lgcp,370000,26,56,0.9038706832885742,0.9004011463960012,0.602375,e4d4b28b1dbda59cd2dd3ebc8d71d5fb7646e2d8
