channels,method,test_loss_mean,test_loss_std,test_loss_n,adversarial_loss_mean,adversarial_loss_std,adversarial_loss_n
dtm_m0.01+0.02+0.04,pi_multik,0.5035184941973005,0.010910649571858649,3,0.49257460896174116,0.002461403938956562,3
dtm_m0.01+0.02+0.04+0.10+0.20+0.45+0.90,pi_multik_scaleconv,0.5046927052641672,0.008884301676986159,3,0.494514283657074,0.0035371551657253173,3
dtm_m0.01+0.02+0.04+0.10+0.20+0.45+0.90,pi_multik,0.5068512876071627,0.01061179173578099,3,0.49805048084259035,0.002089485663667368,3
dtm_m0.01+0.04+0.10+0.20+0.45,pi_multik,0.5071879846141452,0.010904680468745615,3,0.4953811036745707,0.0030151972275919052,3
dtm_m0.01+0.02+0.04,pi_multik_scaleconv,0.5081831950422318,0.006237109538817623,3,0.4982569297154744,0.0024614273851410943,3
dtm_m0.01+0.04+0.10+0.20+0.45,pi_multik_scaleconv,0.5088483890522094,0.008978760389848586,10,0.49650290231704713,0.0028266372315956883,10
dtm_m0.01+0.10+0.90,pi_multik,0.5111331210628388,0.011325336369485255,3,0.5029367291132609,0.0012982601061278624,3
dtm_m0.02,pi_multik,0.5125576951201,0.010565859893842748,3,0.5036849493980408,0.0013006385828713196,3
dtm_m0.01+0.10+0.90,pi_multik_scaleconv,0.5125771804461403,0.008668365053879848,3,0.5062669711112976,0.0013748603328309712,3
dtm_m0.01,pi_multik,0.5152332862596664,0.011645984913683563,3,0.5053410458564759,0.002416002628945965,3
dtm_m0.02,pi_multik_scaleconv,0.515487690009768,0.010186525742983099,3,0.5063641729354859,0.0033413029239928805,3
dtm_m0.01,pi_multik_scaleconv,0.5159330279675741,0.013522434300110213,3,0.5112270121574402,0.003841167897905584,3
dtm_m0.01,pi_multik_towers,0.5177077575335427,0.009257496930285986,3,0.510757231871287,0.004672470051041722,3
dtm_m0.01+0.02+0.04,pi_multik_towers,0.518410940321665,0.016097671864521972,3,0.5083104968070984,0.003998826108606018,3
dtm_m0.02,pi_multik_towers,0.5205805915877932,0.013691072965866146,3,0.5091275582313538,0.002949937754411536,3
dtm_m0.04,pi_multik,0.5217286326393249,0.008740779207561299,3,0.5087551579475403,0.0007831501536932007,3
dtm_m0.01+0.10+0.90,pi_multik_towers,0.523198002406529,0.016011051041854674,3,0.517545708656311,0.014685493751055396,3
dtm_m0.01+0.02+0.04+0.10+0.20+0.45+0.90,pi_multik_towers,0.5283714557072473,0.0063821490886942864,3,0.5195275362332662,0.005321187836380896,3
dtm_m0.04,pi_multik_scaleconv,0.5307521729242234,0.007975504234299985,3,0.5153398269017537,0.004658475445983985,3
dtm_m0.10,pi_multik,0.5334301561401004,0.008455597096006698,3,0.5238511888186137,0.0004794078346486716,3
dtm_m0.10,pi_multik_scaleconv,0.5362884391867926,0.0063711247850629475,3,0.5278878005345663,0.005490322168638407,3
dtm_m0.01+0.04+0.10+0.20+0.45,pi_multik_towers,0.5382417711303348,0.011653667443543349,10,0.5278852506160736,0.00951987386695819,10
dtm_m0.10,pi_multik_towers,0.5395633895624252,0.006410670129292702,3,0.5307863022486369,0.005772421464629441,3
dtm_m0.20+0.45+0.90,pi_multik,0.542982197791811,0.016572164756835758,3,0.5312436501185099,0.0011680465143158198,3
dtm_m0.20+0.45+0.90,pi_multik_scaleconv,0.5455128766052306,0.014825730232222367,3,0.532767392317454,0.0014707584152419406,3
dtm_m0.20,pi_multik,0.546025253704616,0.013199744042730525,3,0.5343806460698446,0.0018716134631860187,3
dtm_m0.20,pi_multik_scaleconv,0.5475581951368422,0.013264485983077829,3,0.5396168375015259,0.005766369800552776,3
dtm_m0.20,pi_multik_towers,0.5550960926782518,0.014275075892048789,3,0.5453116572697958,0.003166811242907967,3
dtm_m0.20+0.45+0.90,pi_multik_towers,0.5780986691278125,0.04724646860235163,3,0.5698205954233806,0.04930847940627547,3
dtm_m0.04,pi_multik_towers,0.5899654385778639,0.044605090597088996,3,0.5829848990440368,0.05997043454132931,3
dtm_m0.45,pi_multik,0.5981440203530448,0.012474171112845718,3,0.5851826709111532,0.0019027934870204646,3
dtm_m0.45,pi_multik_towers,0.6014120490210397,0.007397406453090974,3,0.5926525842348734,0.0032639449566745815,3
dtm_m0.45,pi_multik_scaleconv,0.6022451700104607,0.010637111463924855,3,0.5869560424486796,0.0019596603794250723,3
dtm_m0.90,pi_multik_scaleconv,0.6292816103072394,0.008340718377915871,3,0.6234539575576782,0.0011758479601723857,3
dtm_m0.90,pi_multik_towers,0.630426314444769,0.00915629465791083,3,0.6229508601824443,0.0019114001162316568,3
dtm_m0.90,pi_multik,0.6307027084108383,0.006196501663179109,3,0.6217539658546448,0.005063892089469109,3
