task,group,features,variant,target,metric,family,nbar_bin,delta_bin,n_thetas,estimate,lo,hi,seed_sd,reference,n_seeds
params,lgcp,L,fixed,nbar,rmse_log,lgcp,,,2000,0.09039095349012433,0.08775158063008648,0.09317203659168327,0.0007678773335043899,,10
params,lgcp,L,fixed,sigma2,rmse_log,lgcp,,,2000,0.809713877207436,0.7830755432273628,0.8362270508278947,0.002544514256110149,,10
params,lgcp,L,fixed,s,rmse_log,lgcp,,,2000,0.7321893009164143,0.7102322589196399,0.7553452084803385,0.0020254575232833815,,10
params,lgcp,L,fixed,all,rmse_log,lgcp,,,2000,0.6324313559039747,0.6148416365395734,0.6509647981057884,0.0013614814494764596,,10
params,lgcp,L,fixed,all,dtilde,lgcp,,,2000,0.4296980102216868,0.4139639476693366,0.44544156907161453,0.008443002848372266,,10
params,lgcp,L,fixed,nbar,rmse_log,lgcp,75.0,,657,0.089532318760778,0.08557830763064421,0.09367249233664886,0.0007166746185331544,,10
params,lgcp,L,fixed,sigma2,rmse_log,lgcp,75.0,,657,0.8385838328953603,0.7925042521935705,0.8890517238718674,0.004931799786771325,,10
params,lgcp,L,fixed,s,rmse_log,lgcp,75.0,,657,0.738083279924603,0.7008233265609608,0.7802061389770603,0.002621310936938001,,10
params,lgcp,L,fixed,all,rmse_log,lgcp,75.0,,657,0.6470460594116453,0.6143158343524299,0.6797730367709822,0.00279149264260547,,10
params,lgcp,L,fixed,all,dtilde,lgcp,75.0,,657,0.43270851646831376,0.4049260805087405,0.4603235744680033,0.008351659066386451,,10
params,lgcp,L,fixed,nbar,rmse_log,lgcp,174.82976642952164,,685,0.09155235274537235,0.08691442483272746,0.09659333754289925,0.001096531735583066,,10
params,lgcp,L,fixed,sigma2,rmse_log,lgcp,174.82976642952164,,685,0.772405038283673,0.7297492246422718,0.8142810568210194,0.003493603917081599,,10
params,lgcp,L,fixed,s,rmse_log,lgcp,174.82976642952164,,685,0.7114283396449584,0.6723657303466184,0.7496441798501099,0.0033268427941860017,,10
params,lgcp,L,fixed,all,rmse_log,lgcp,174.82976642952164,,685,0.6085835080768012,0.5772187581630183,0.6375575598051059,0.002358756094444246,,10
params,lgcp,L,fixed,all,dtilde,lgcp,174.82976642952164,,685,0.437474557207179,0.40928054275309894,0.46343788337387304,0.011257170118631385,,10
params,lgcp,L,fixed,nbar,rmse_log,lgcp,407.53929639734827,,658,0.09002665444877106,0.08578080115988582,0.09449065386758816,0.0011010063126196796,,10
params,lgcp,L,fixed,sigma2,rmse_log,lgcp,407.53929639734827,,658,0.8182736105993543,0.7716432657149709,0.8607809680816867,0.0029967058906709846,,10
params,lgcp,L,fixed,s,rmse_log,lgcp,407.53929639734827,,658,0.7474284480603519,0.7099917939733491,0.7871764013590228,0.0026389431201457366,,10
params,lgcp,L,fixed,all,rmse_log,lgcp,407.53929639734827,,658,0.6419568483121091,0.6109405465155585,0.6737774980596037,0.0016807819605647485,,10
params,lgcp,L,fixed,all,dtilde,lgcp,407.53929639734827,,658,0.418596433794489,0.3911766591639332,0.44568061802873016,0.006441480384770089,,10
params,lgcp,L,fixed,nbar,rmse_log,lgcp,,0.05,17,0.08028457859405098,0.05353703600008038,0.10796494961323025,0.004837226436214865,,10
params,lgcp,L,fixed,sigma2,rmse_log,lgcp,,0.05,17,1.1161913046178205,0.6983259150896157,1.4365379696492113,0.014633945542822368,,10
params,lgcp,L,fixed,s,rmse_log,lgcp,,0.05,17,0.960528418005917,0.7320100536059857,1.184382283852893,0.010314997322352783,,10
params,lgcp,L,fixed,all,rmse_log,lgcp,,0.05,17,0.8514582557513525,0.6185200494347253,1.0580112198546245,0.009453846547820303,,10
params,lgcp,L,fixed,all,dtilde,lgcp,,0.05,17,0.4019700489421456,0.2844547890598091,0.5214343528999995,0.015098943443109213,,10
params,lgcp,L,fixed,nbar,rmse_log,lgcp,174.82976642952164,0.05,10,0.0899699355285387,0.04984681613241334,0.13008085570367642,0.0063354722933545915,,10
params,lgcp,L,fixed,sigma2,rmse_log,lgcp,174.82976642952164,0.05,10,1.1924310557110898,0.6001099526722756,1.6436605410192975,0.02001855178722517,,10
params,lgcp,L,fixed,s,rmse_log,lgcp,174.82976642952164,0.05,10,0.9191695641908101,0.5506052683558258,1.2005690572881822,0.008430531863655914,,10
params,lgcp,L,fixed,all,rmse_log,lgcp,174.82976642952164,0.05,10,0.870796397875339,0.506539764304606,1.1695650163011215,0.010943779085159113,,10
params,lgcp,L,fixed,all,dtilde,lgcp,174.82976642952164,0.05,10,0.3375084679938218,0.20834021957431598,0.5016485986802811,0.026643630764376015,,10
params,lgcp,L,fixed,nbar,rmse_log,lgcp,,0.09540870513286719,35,0.09869231544003908,0.07041840527634337,0.12435988542306516,0.002129324701170417,,10
params,lgcp,L,fixed,sigma2,rmse_log,lgcp,,0.09540870513286719,35,0.9960020132537094,0.7782115500474202,1.1880078100245677,0.016254230782706835,,10
params,lgcp,L,fixed,s,rmse_log,lgcp,,0.09540870513286719,35,0.8420911887653854,0.6533390575059298,1.0244202705229695,0.014804218362433473,,10
params,lgcp,L,fixed,all,rmse_log,lgcp,,0.09540870513286719,35,0.7551771875369512,0.6013813331556277,0.9126156931973634,0.010782008350242822,,10
params,lgcp,L,fixed,all,dtilde,lgcp,,0.09540870513286719,35,0.4275127270364105,0.3379486137376762,0.5461254385688056,0.011567340735803875,,10
